ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,2
2,think,1,1,NA,2
3,think,1,1,NA,2
4,think,0,0,NA,2
5,think,0,0,NA,2
6,think,1,1,NA,2
7,think,1,1,NA,2
8,think,1,0,NA,2
9,think,1,0,NA,2
10,think,1,1,NA,2
11,think,0,1,NA,2
12,think,1,1,NA,2
13,nothink,1,1,1,2
14,nothink,1,1,1,2
15,nothink,0,0,0,2
16,nothink,1,1,1,2
17,nothink,1,0,1,2
18,nothink,0,0,1,2
19,nothink,1,1,1,2
20,nothink,1,0,1,2
21,nothink,1,0,1,2
22,nothink,1,0,1,2
23,nothink,1,0,1,2
24,nothink,0,0,1,2
25,baseline,1,1,NA,2
26,baseline,0,0,NA,2
27,baseline,0,0,NA,2
28,baseline,1,1,NA,2
29,baseline,0,0,NA,2
30,baseline,1,1,NA,2
31,baseline,1,0,NA,2
32,baseline,0,0,NA,2
33,baseline,1,0,NA,2
34,baseline,0,0,NA,2
35,baseline,1,1,NA,2
36,baseline,1,1,NA,2
