ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,7
2,nothink,1,1,1,7
3,nothink,1,1,1,7
4,nothink,1,1,1,7
5,nothink,1,1,1,7
6,nothink,1,1,1,7
7,nothink,0,0,1,7
8,nothink,1,1,1,7
9,nothink,1,1,1,7
10,nothink,1,1,1,7
11,nothink,1,1,1,7
12,nothink,1,1,1,7
13,think,1,1,NA,7
14,think,1,1,NA,7
15,think,1,1,NA,7
16,think,1,1,NA,7
17,think,1,1,NA,7
18,think,1,1,NA,7
19,think,1,1,NA,7
20,think,1,1,NA,7
21,think,1,1,NA,7
22,think,1,1,NA,7
23,think,1,1,NA,7
24,think,1,1,NA,7
25,baseline,1,1,NA,7
26,baseline,1,1,NA,7
27,baseline,1,1,NA,7
28,baseline,1,1,NA,7
29,baseline,1,1,NA,7
30,baseline,1,0,NA,7
31,baseline,1,1,NA,7
32,baseline,1,1,NA,7
33,baseline,1,1,NA,7
34,baseline,1,1,NA,7
35,baseline,1,1,NA,7
36,baseline,1,1,NA,7
