ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,30
2,baseline,1,1,NA,30
3,baseline,1,1,NA,30
4,baseline,0,0,NA,30
5,baseline,1,1,NA,30
6,baseline,1,1,NA,30
7,baseline,1,1,NA,30
8,baseline,1,1,NA,30
9,baseline,1,1,NA,30
10,baseline,0,0,NA,30
11,baseline,1,1,NA,30
12,baseline,1,1,NA,30
13,think,1,1,NA,30
14,think,1,1,NA,30
15,think,1,1,NA,30
16,think,1,1,NA,30
17,think,1,1,NA,30
18,think,1,1,NA,30
19,think,1,1,NA,30
20,think,1,1,NA,30
21,think,1,1,NA,30
22,think,1,1,NA,30
23,think,1,1,NA,30
24,think,1,1,NA,30
25,nothink,1,1,1,30
26,nothink,0,0,1,30
27,nothink,0,0,1,30
28,nothink,1,1,1,30
29,nothink,1,1,1,30
30,nothink,1,0,1,30
31,nothink,1,1,1,30
32,nothink,1,1,1,30
33,nothink,1,1,1,30
34,nothink,1,1,1,30
35,nothink,1,1,1,30
36,nothink,1,1,1,30
