status,type,words,participant,rate
nothink,cue,電車 [電車],27,5
nothink,tar,電車 [カップル],27,5
nothink,sub,電車 [レール],27,3
nothink,cue,雨雲 [雨雲],27,5
nothink,tar,雨雲 [トラック],27,4
nothink,sub,雨雲 [あられ],27,2
nothink,cue,満月 [満月],27,5
nothink,tar,満月 [ミサイル],27,4
nothink,sub,満月 [クレーター],27,4
nothink,cue,網戸 [網戸],27,5
nothink,tar,網戸 [とんぼ],27,5
nothink,sub,網戸 [カーテン],27,4
nothink,cue,舞台 [舞台],27,4
nothink,tar,舞台 [とんかち],27,1
nothink,sub,舞台 [オペラ],27,3
nothink,cue,旅行 [旅行],27,4
nothink,tar,旅行 [ビール],27,4
nothink,sub,旅行 [ホテル],27,2
nothink,cue,面接 [面接],27,5
nothink,tar,面接 [おなか],27,3
nothink,sub,面接 [アルバイト],27,4
nothink,cue,王様 [王様],27,5
nothink,tar,王様 [カジノ],27,2
nothink,sub,王様 [マント],27,4
nothink,cue,公園 [公園],27,5
nothink,tar,公園 [マナー],27,2
nothink,sub,公園 [シーソー],27,4
nothink,cue,彫刻 [彫刻],27,5
nothink,tar,彫刻 [ダイヤ],27,5
nothink,sub,彫刻 [ナイフ],27,1
nothink,cue,新年 [新年],27,3
nothink,tar,新年 [ニュース],27,4
nothink,sub,新年 [モチつき],27,3
nothink,cue,洞窟 [洞窟],27,5
nothink,tar,洞窟 [コンパス],27,4
nothink,sub,洞窟 [こうもり],27,4
think,cue,屋台 [屋台],27,5
think,tar,屋台 [まぐろ],27,2
think,sub,屋台 [おしぼり],27,2
think,cue,競走 [競走],27,5
think,tar,競走 [うさぎ],27,5
think,sub,競走 [ゼッケン],27,2
think,cue,財布 [財布],27,4
think,tar,財布 [ワニ],27,4
think,sub,財布 [カード],27,1
think,cue,野宿 [野宿],27,5
think,tar,野宿 [カラス],27,5
think,sub,野宿 [テント],27,2
think,cue,映画 [映画],27,5
think,tar,映画 [カフェ],27,2
think,sub,映画 [フィルム],27,1
think,cue,登山 [登山],27,3
think,tar,登山 [ラジオ],27,4
think,sub,登山 [アルプス],27,1
think,cue,砂漠 [砂漠],27,5
think,tar,砂漠 [ゴルフ],27,5
think,sub,砂漠 [オアシス],27,1
think,cue,油絵 [油絵],27,5
think,tar,油絵 [ローマ],27,4
think,sub,油絵 [デッサン],27,2
think,cue,缶詰 [缶詰],27,4
think,tar,缶詰 [バナナ],27,5
think,sub,缶詰 [リサイクル],27,1
think,cue,幼児 [幼児],27,5
think,tar,幼児 [ピアノ],27,4
think,sub,幼児 [おしゃぶり],27,2
think,cue,和室 [和室],27,5
think,tar,和室 [ろうそく],27,5
think,sub,和室 [ふすま],27,1
think,cue,坊主 [坊主],27,4
think,tar,坊主 [ほくろ],27,3
think,sub,坊主 [バリカン],27,1
