ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,25
2,think,1,1,NA,25
3,think,1,1,NA,25
4,think,1,1,NA,25
5,think,1,1,NA,25
6,think,0,1,NA,25
7,think,1,1,NA,25
8,think,1,1,NA,25
9,think,1,1,NA,25
10,think,1,1,NA,25
11,think,1,1,NA,25
12,think,1,1,NA,25
13,nothink,1,1,1,25
14,nothink,1,1,1,25
15,nothink,1,1,1,25
16,nothink,1,1,1,25
17,nothink,1,1,1,25
18,nothink,1,1,1,25
19,nothink,1,1,1,25
20,nothink,1,1,1,25
21,nothink,1,1,1,25
22,nothink,1,0,0,25
23,nothink,1,1,1,25
24,nothink,1,1,1,25
25,baseline,1,1,NA,25
26,baseline,1,1,NA,25
27,baseline,1,1,NA,25
28,baseline,1,1,NA,25
29,baseline,1,1,NA,25
30,baseline,0,0,NA,25
31,baseline,1,1,NA,25
32,baseline,1,1,NA,25
33,baseline,1,1,NA,25
34,baseline,1,1,NA,25
35,baseline,1,1,NA,25
36,baseline,1,1,NA,25
