ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,11
2,baseline,1,1,NA,11
3,baseline,1,1,NA,11
4,baseline,1,1,NA,11
5,baseline,1,1,NA,11
6,baseline,1,1,NA,11
7,baseline,1,1,NA,11
8,baseline,1,1,NA,11
9,baseline,1,1,NA,11
10,baseline,1,1,NA,11
11,baseline,1,1,NA,11
12,baseline,1,1,NA,11
13,nothink,1,1,1,11
14,nothink,1,1,1,11
15,nothink,1,1,1,11
16,nothink,1,1,1,11
17,nothink,1,1,1,11
18,nothink,1,1,1,11
19,nothink,1,1,1,11
20,nothink,1,1,1,11
21,nothink,1,1,1,11
22,nothink,1,1,0,11
23,nothink,1,1,0,11
24,nothink,1,1,1,11
25,think,1,1,NA,11
26,think,1,1,NA,11
27,think,1,1,NA,11
28,think,1,1,NA,11
29,think,1,1,NA,11
30,think,1,1,NA,11
31,think,1,1,NA,11
32,think,1,1,NA,11
33,think,1,1,NA,11
34,think,1,1,NA,11
35,think,1,1,NA,11
36,think,1,1,NA,11
