ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,15
2,think,1,1,NA,15
3,think,1,1,NA,15
4,think,1,1,NA,15
5,think,1,1,NA,15
6,think,1,1,NA,15
7,think,1,1,NA,15
8,think,0,1,NA,15
9,think,1,1,NA,15
10,think,1,1,NA,15
11,think,1,1,NA,15
12,think,1,1,NA,15
13,baseline,1,1,NA,15
14,baseline,1,1,NA,15
15,baseline,0,0,NA,15
16,baseline,1,1,NA,15
17,baseline,1,1,NA,15
18,baseline,1,1,NA,15
19,baseline,1,1,NA,15
20,baseline,1,1,NA,15
21,baseline,1,1,NA,15
22,baseline,1,1,NA,15
23,baseline,1,1,NA,15
24,baseline,1,1,NA,15
25,nothink,1,1,1,15
26,nothink,1,1,1,15
27,nothink,1,1,1,15
28,nothink,1,1,1,15
29,nothink,1,1,1,15
30,nothink,0,0,1,15
31,nothink,1,1,1,15
32,nothink,1,0,1,15
33,nothink,0,0,1,15
34,nothink,1,0,1,15
35,nothink,1,1,1,15
36,nothink,1,1,1,15
