ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,16
2,think,1,1,NA,16
3,think,1,1,NA,16
4,think,1,1,NA,16
5,think,1,1,NA,16
6,think,1,1,NA,16
7,think,1,1,NA,16
8,think,1,1,NA,16
9,think,1,1,NA,16
10,think,1,1,NA,16
11,think,1,1,NA,16
12,think,1,1,NA,16
13,baseline,1,1,NA,16
14,baseline,1,1,NA,16
15,baseline,1,1,NA,16
16,baseline,1,1,NA,16
17,baseline,1,1,NA,16
18,baseline,1,1,NA,16
19,baseline,1,1,NA,16
20,baseline,1,1,NA,16
21,baseline,1,1,NA,16
22,baseline,1,1,NA,16
23,baseline,1,1,NA,16
24,baseline,1,1,NA,16
25,nothink,1,1,1,16
26,nothink,1,1,1,16
27,nothink,1,1,0,16
28,nothink,1,1,1,16
29,nothink,1,1,1,16
30,nothink,1,1,1,16
31,nothink,1,0,1,16
32,nothink,1,1,1,16
33,nothink,1,0,1,16
34,nothink,1,1,1,16
35,nothink,1,1,1,16
36,nothink,1,1,1,16
