ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,12
2,baseline,1,1,NA,12
3,baseline,1,1,NA,12
4,baseline,1,1,NA,12
5,baseline,1,1,NA,12
6,baseline,0,0,NA,12
7,baseline,1,1,NA,12
8,baseline,1,1,NA,12
9,baseline,1,1,NA,12
10,baseline,0,1,NA,12
11,baseline,0,0,NA,12
12,baseline,1,1,NA,12
13,nothink,1,1,1,12
14,nothink,1,1,1,12
15,nothink,1,1,1,12
16,nothink,1,1,1,12
17,nothink,1,1,1,12
18,nothink,1,1,1,12
19,nothink,1,1,1,12
20,nothink,1,1,1,12
21,nothink,1,1,1,12
22,nothink,1,1,1,12
23,nothink,1,1,1,12
24,nothink,1,1,1,12
25,think,1,1,NA,12
26,think,0,0,NA,12
27,think,1,1,NA,12
28,think,1,1,NA,12
29,think,1,1,NA,12
30,think,1,1,NA,12
31,think,1,1,NA,12
32,think,1,1,NA,12
33,think,1,1,NA,12
34,think,1,1,NA,12
35,think,1,1,NA,12
36,think,1,1,NA,12
