status,type,words,participant,rate
think,cue,郵便 [郵便],31,3
think,tar,郵便 [はさみ],31,4
think,sub,郵便 [ポスト],31,3
think,cue,学校 [学校],31,5
think,tar,学校 [あじさい],31,5
think,sub,学校 [チャイム],31,1
think,cue,雪国 [雪国],31,4
think,tar,雪国 [カレー],31,3
think,sub,雪国 [ストーブ],31,1
think,cue,地球 [地球],31,3
think,tar,地球 [メートル],31,5
think,sub,地球 [マグマ],31,1
think,cue,漫才 [漫才],31,3
think,tar,漫才 [チケット],31,5
think,sub,漫才 [ギャグ],31,1
think,cue,浴衣 [浴衣],31,5
think,tar,浴衣 [おんぶ],31,3
think,sub,浴衣 [うちわ],31,1
think,cue,手品 [手品],31,4
think,tar,手品 [テーブル],31,4
think,sub,手品 [トリック],31,1
think,cue,餃子 [餃子],31,4
think,tar,餃子 [レンジ],31,4
think,sub,餃子 [にんにく],31,1
think,cue,銭湯 [銭湯],31,4
think,tar,銭湯 [バケツ],31,4
think,sub,銭湯 [サウナ],31,1
think,cue,香水 [香水],31,5
think,tar,香水 [ズボン],31,4
think,sub,香水 [スプレー],31,1
think,cue,真夏 [真夏],31,5
think,tar,真夏 [うどん],31,5
think,sub,真夏 [プール],31,1
think,cue,都会 [都会],31,5
think,tar,都会 [ジャズ],31,5
think,sub,都会 [ビル],31,1
nothink,cue,屋台 [屋台],31,4
nothink,tar,屋台 [まぐろ],31,3
nothink,sub,屋台 [おしぼり],31,4
nothink,cue,競走 [競走],31,4
nothink,tar,競走 [うさぎ],31,4
nothink,sub,競走 [ゼッケン],31,4
nothink,cue,財布 [財布],31,4
nothink,tar,財布 [ワニ],31,3
nothink,sub,財布 [カード],31,3
nothink,cue,野宿 [野宿],31,5
nothink,tar,野宿 [カラス],31,5
nothink,sub,野宿 [テント],31,3
nothink,cue,映画 [映画],31,5
nothink,tar,映画 [カフェ],31,3
nothink,sub,映画 [フィルム],31,3
nothink,cue,登山 [登山],31,4
nothink,tar,登山 [ラジオ],31,4
nothink,sub,登山 [アルプス],31,2
nothink,cue,砂漠 [砂漠],31,4
nothink,tar,砂漠 [ゴルフ],31,2
nothink,sub,砂漠 [オアシス],31,2
nothink,cue,油絵 [油絵],31,5
nothink,tar,油絵 [ローマ],31,4
nothink,sub,油絵 [デッサン],31,3
nothink,cue,缶詰 [缶詰],31,3
nothink,tar,缶詰 [バナナ],31,4
nothink,sub,缶詰 [リサイクル],31,4
nothink,cue,幼児 [幼児],31,5
nothink,tar,幼児 [ピアノ],31,3
nothink,sub,幼児 [おしゃぶり],31,3
nothink,cue,和室 [和室],31,4
nothink,tar,和室 [ろうそく],31,3
nothink,sub,和室 [ふすま],31,3
nothink,cue,坊主 [坊主],31,3
nothink,tar,坊主 [ほくろ],31,4
nothink,sub,坊主 [バリカン],31,3
