status,type,words,participant,rate
nothink,cue,電車 [電車],17,5
nothink,tar,電車 [カップル],17,2
nothink,sub,電車 [レール],17,2
nothink,cue,雨雲 [雨雲],17,5
nothink,tar,雨雲 [トラック],17,2
nothink,sub,雨雲 [あられ],17,1
nothink,cue,満月 [満月],17,5
nothink,tar,満月 [ミサイル],17,2
nothink,sub,満月 [クレーター],17,2
nothink,cue,網戸 [網戸],17,4
nothink,tar,網戸 [とんぼ],17,2
nothink,sub,網戸 [カーテン],17,2
nothink,cue,舞台 [舞台],17,5
nothink,tar,舞台 [とんかち],17,2
nothink,sub,舞台 [オペラ],17,2
nothink,cue,旅行 [旅行],17,5
nothink,tar,旅行 [ビール],17,1
nothink,sub,旅行 [ホテル],17,1
nothink,cue,面接 [面接],17,5
nothink,tar,面接 [おなか],17,2
nothink,sub,面接 [アルバイト],17,2
nothink,cue,王様 [王様],17,5
nothink,tar,王様 [カジノ],17,2
nothink,sub,王様 [マント],17,1
nothink,cue,公園 [公園],17,4
nothink,tar,公園 [マナー],17,2
nothink,sub,公園 [シーソー],17,3
nothink,cue,彫刻 [彫刻],17,5
nothink,tar,彫刻 [ダイヤ],17,2
nothink,sub,彫刻 [ナイフ],17,2
nothink,cue,新年 [新年],17,5
nothink,tar,新年 [ニュース],17,2
nothink,sub,新年 [モチつき],17,2
nothink,cue,洞窟 [洞窟],17,5
nothink,tar,洞窟 [コンパス],17,1
nothink,sub,洞窟 [こうもり],17,2
think,cue,学校 [学校],17,1
think,tar,学校 [あじさい],17,5
think,sub,学校 [チャイム],17,1
think,cue,郵便 [郵便],17,2
think,tar,郵便 [はさみ],17,5
think,sub,郵便 [ポスト],17,1
think,cue,雪国 [雪国],17,2
think,tar,雪国 [カレー],17,5
think,sub,雪国 [ストーブ],17,1
think,cue,地球 [地球],17,2
think,tar,地球 [メートル],17,5
think,sub,地球 [マグマ],17,1
think,cue,漫才 [漫才],17,3
think,tar,漫才 [チケット],17,5
think,sub,漫才 [ギャグ],17,1
think,cue,浴衣 [浴衣],17,1
think,tar,浴衣 [おんぶ],17,5
think,sub,浴衣 [うちわ],17,1
think,cue,手品 [手品],17,3
think,tar,手品 [テーブル],17,4
think,sub,手品 [トリック],17,1
think,cue,餃子 [餃子],17,1
think,tar,餃子 [レンジ],17,5
think,sub,餃子 [にんにく],17,1
think,cue,銭湯 [銭湯],17,5
think,tar,銭湯 [バケツ],17,3
think,sub,銭湯 [サウナ],17,1
think,cue,香水 [香水],17,2
think,tar,香水 [ズボン],17,5
think,sub,香水 [スプレー],17,1
think,cue,真夏 [真夏],17,2
think,tar,真夏 [うどん],17,5
think,sub,真夏 [プール],17,1
think,cue,都会 [都会],17,3
think,tar,都会 [ジャズ],17,5
think,sub,都会 [ビル],17,1
