ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,14
2,think,1,1,NA,14
3,think,0,1,NA,14
4,think,1,1,NA,14
5,think,1,1,NA,14
6,think,1,1,NA,14
7,think,1,1,NA,14
8,think,1,1,NA,14
9,think,1,1,NA,14
10,think,0,1,NA,14
11,think,1,1,NA,14
12,think,1,1,NA,14
13,nothink,1,1,1,14
14,nothink,1,1,1,14
15,nothink,1,1,1,14
16,nothink,1,1,1,14
17,nothink,0,0,1,14
18,nothink,1,1,1,14
19,nothink,1,1,1,14
20,nothink,1,1,1,14
21,nothink,1,1,1,14
22,nothink,0,0,1,14
23,nothink,1,1,1,14
24,nothink,0,0,1,14
25,baseline,1,1,NA,14
26,baseline,0,0,NA,14
27,baseline,1,1,NA,14
28,baseline,1,1,NA,14
29,baseline,1,1,NA,14
30,baseline,1,1,NA,14
31,baseline,1,1,NA,14
32,baseline,1,1,NA,14
33,baseline,0,0,NA,14
34,baseline,1,1,NA,14
35,baseline,1,1,NA,14
36,baseline,1,1,NA,14
