ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,5
2,baseline,1,1,NA,5
3,baseline,1,1,NA,5
4,baseline,1,1,NA,5
5,baseline,0,0,NA,5
6,baseline,1,1,NA,5
7,baseline,1,1,NA,5
8,baseline,1,1,NA,5
9,baseline,1,1,NA,5
10,baseline,0,0,NA,5
11,baseline,1,1,NA,5
12,baseline,0,0,NA,5
13,think,0,0,NA,5
14,think,1,1,NA,5
15,think,1,1,NA,5
16,think,1,1,NA,5
17,think,1,1,NA,5
18,think,1,1,NA,5
19,think,1,1,NA,5
20,think,1,1,NA,5
21,think,1,1,NA,5
22,think,1,1,NA,5
23,think,1,1,NA,5
24,think,1,1,NA,5
25,nothink,1,1,0,5
26,nothink,1,1,0,5
27,nothink,1,0,1,5
28,nothink,1,1,1,5
29,nothink,0,0,0,5
30,nothink,0,0,1,5
31,nothink,1,1,1,5
32,nothink,0,0,1,5
33,nothink,1,1,1,5
34,nothink,1,1,1,5
35,nothink,1,1,1,5
36,nothink,1,1,1,5
