ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,1
2,think,1,1,NA,1
3,think,1,1,NA,1
4,think,0,0,NA,1
5,think,1,1,NA,1
6,think,1,1,NA,1
7,think,0,0,NA,1
8,think,1,1,NA,1
9,think,1,1,NA,1
10,think,1,1,NA,1
11,think,1,1,NA,1
12,think,1,1,NA,1
13,nothink,1,0,1,1
14,nothink,1,1,1,1
15,nothink,1,1,1,1
16,nothink,1,1,1,1
17,nothink,1,1,1,1
18,nothink,1,1,1,1
19,nothink,1,1,1,1
20,nothink,1,0,1,1
21,nothink,1,1,0,1
22,nothink,1,0,1,1
23,nothink,1,0,1,1
24,nothink,1,0,1,1
25,baseline,1,1,NA,1
26,baseline,1,1,NA,1
27,baseline,1,1,NA,1
28,baseline,1,1,NA,1
29,baseline,1,1,NA,1
30,baseline,1,1,NA,1
31,baseline,1,1,NA,1
32,baseline,1,1,NA,1
33,baseline,1,1,NA,1
34,baseline,1,1,NA,1
35,baseline,1,1,NA,1
36,baseline,0,1,NA,1
