ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,18
2,baseline,1,1,NA,18
3,baseline,0,0,NA,18
4,baseline,1,1,NA,18
5,baseline,0,0,NA,18
6,baseline,1,1,NA,18
7,baseline,1,1,NA,18
8,baseline,1,1,NA,18
9,baseline,1,1,NA,18
10,baseline,1,1,NA,18
11,baseline,1,1,NA,18
12,baseline,1,1,NA,18
13,think,1,1,NA,18
14,think,1,1,NA,18
15,think,1,1,NA,18
16,think,1,1,NA,18
17,think,1,1,NA,18
18,think,0,0,NA,18
19,think,1,1,NA,18
20,think,0,0,NA,18
21,think,1,1,NA,18
22,think,1,1,NA,18
23,think,1,1,NA,18
24,think,1,1,NA,18
25,nothink,1,1,1,18
26,nothink,1,1,0,18
27,nothink,1,1,1,18
28,nothink,1,1,1,18
29,nothink,1,1,1,18
30,nothink,0,0,1,18
31,nothink,1,1,1,18
32,nothink,1,1,1,18
33,nothink,0,1,1,18
34,nothink,1,1,1,18
35,nothink,1,1,1,18
36,nothink,1,1,1,18
