ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,4
2,think,1,1,NA,4
3,think,1,1,NA,4
4,think,1,1,NA,4
5,think,1,1,NA,4
6,think,1,1,NA,4
7,think,1,1,NA,4
8,think,1,1,NA,4
9,think,1,1,NA,4
10,think,1,1,NA,4
11,think,1,1,NA,4
12,think,1,1,NA,4
13,baseline,1,1,NA,4
14,baseline,1,1,NA,4
15,baseline,1,1,NA,4
16,baseline,1,1,NA,4
17,baseline,1,1,NA,4
18,baseline,1,0,NA,4
19,baseline,1,1,NA,4
20,baseline,1,1,NA,4
21,baseline,1,1,NA,4
22,baseline,1,1,NA,4
23,baseline,1,1,NA,4
24,baseline,1,1,NA,4
25,nothink,1,1,1,4
26,nothink,1,1,1,4
27,nothink,1,1,1,4
28,nothink,1,1,1,4
29,nothink,0,0,1,4
30,nothink,1,1,1,4
31,nothink,1,1,1,4
32,nothink,1,1,1,4
33,nothink,1,0,1,4
34,nothink,1,1,1,4
35,nothink,1,1,1,4
36,nothink,1,1,1,4
