ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,31
2,nothink,1,1,1,31
3,nothink,1,1,1,31
4,nothink,1,1,1,31
5,nothink,1,1,1,31
6,nothink,1,1,1,31
7,nothink,1,1,1,31
8,nothink,1,1,1,31
9,nothink,1,1,0,31
10,nothink,1,0,0,31
11,nothink,1,1,0,31
12,nothink,1,1,1,31
13,think,1,1,NA,31
14,think,1,1,NA,31
15,think,1,1,NA,31
16,think,1,1,NA,31
17,think,1,1,NA,31
18,think,1,1,NA,31
19,think,1,1,NA,31
20,think,1,1,NA,31
21,think,1,1,NA,31
22,think,1,1,NA,31
23,think,1,1,NA,31
24,think,1,1,NA,31
25,baseline,1,1,NA,31
26,baseline,1,1,NA,31
27,baseline,1,1,NA,31
28,baseline,1,1,NA,31
29,baseline,1,1,NA,31
30,baseline,1,1,NA,31
31,baseline,1,1,NA,31
32,baseline,1,1,NA,31
33,baseline,1,1,NA,31
34,baseline,1,1,NA,31
35,baseline,1,1,NA,31
36,baseline,1,1,NA,31
