ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,20
2,nothink,0,1,1,20
3,nothink,1,1,1,20
4,nothink,1,0,1,20
5,nothink,1,1,1,20
6,nothink,1,1,0,20
7,nothink,1,1,1,20
8,nothink,1,1,1,20
9,nothink,1,1,1,20
10,nothink,1,1,1,20
11,nothink,1,1,1,20
12,nothink,1,1,1,20
13,think,1,1,NA,20
14,think,1,1,NA,20
15,think,1,1,NA,20
16,think,1,1,NA,20
17,think,1,1,NA,20
18,think,1,1,NA,20
19,think,1,1,NA,20
20,think,1,1,NA,20
21,think,1,1,NA,20
22,think,1,1,NA,20
23,think,1,1,NA,20
24,think,1,1,NA,20
25,baseline,1,1,NA,20
26,baseline,1,1,NA,20
27,baseline,1,1,NA,20
28,baseline,1,1,NA,20
29,baseline,1,1,NA,20
30,baseline,1,1,NA,20
31,baseline,1,1,NA,20
32,baseline,1,1,NA,20
33,baseline,1,1,NA,20
34,baseline,1,1,NA,20
35,baseline,1,1,NA,20
36,baseline,1,1,NA,20
