status,type,words,participant,rate
think,cue,電車 [電車],12,5
think,tar,電車 [カップル],12,5
think,sub,電車 [レール],12,1
think,cue,雨雲 [雨雲],12,5
think,tar,雨雲 [トラック],12,1
think,sub,雨雲 [あられ],12,1
think,cue,満月 [満月],12,5
think,tar,満月 [ミサイル],12,4
think,sub,満月 [クレーター],12,1
think,cue,網戸 [網戸],12,5
think,tar,網戸 [とんぼ],12,5
think,sub,網戸 [カーテン],12,1
think,cue,舞台 [舞台],12,5
think,tar,舞台 [とんかち],12,4
think,sub,舞台 [オペラ],12,4
think,cue,旅行 [旅行],12,5
think,tar,旅行 [ビール],12,5
think,sub,旅行 [ホテル],12,1
think,cue,面接 [面接],12,5
think,tar,面接 [おなか],12,5
think,sub,面接 [アルバイト],12,1
think,cue,王様 [王様],12,4
think,tar,王様 [カジノ],12,5
think,sub,王様 [マント],12,1
think,cue,公園 [公園],12,5
think,tar,公園 [マナー],12,5
think,sub,公園 [シーソー],12,1
think,cue,彫刻 [彫刻],12,5
think,tar,彫刻 [ダイヤ],12,5
think,sub,彫刻 [ナイフ],12,1
think,cue,新年 [新年],12,5
think,tar,新年 [ニュース],12,5
think,sub,新年 [モチつき],12,1
think,cue,洞窟 [洞窟],12,5
think,tar,洞窟 [コンパス],12,5
think,sub,洞窟 [こうもり],12,1
nothink,cue,学校 [学校],12,5
nothink,tar,学校 [あじさい],12,4
nothink,sub,学校 [チャイム],12,5
nothink,cue,郵便 [郵便],12,5
nothink,tar,郵便 [はさみ],12,4
nothink,sub,郵便 [ポスト],12,4
nothink,cue,雪国 [雪国],12,5
nothink,tar,雪国 [カレー],12,5
nothink,sub,雪国 [ストーブ],12,5
nothink,cue,地球 [地球],12,5
nothink,tar,地球 [メートル],12,5
nothink,sub,地球 [マグマ],12,5
nothink,cue,漫才 [漫才],12,5
nothink,tar,漫才 [チケット],12,3
nothink,sub,漫才 [ギャグ],12,4
nothink,cue,浴衣 [浴衣],12,5
nothink,tar,浴衣 [おんぶ],12,5
nothink,sub,浴衣 [うちわ],12,5
nothink,cue,手品 [手品],12,5
nothink,tar,手品 [テーブル],12,5
nothink,sub,手品 [トリック],12,5
nothink,cue,餃子 [餃子],12,5
nothink,tar,餃子 [レンジ],12,5
nothink,sub,餃子 [にんにく],12,5
nothink,cue,銭湯 [銭湯],12,5
nothink,tar,銭湯 [バケツ],12,5
nothink,sub,銭湯 [サウナ],12,5
nothink,cue,香水 [香水],12,5
nothink,tar,香水 [ズボン],12,5
nothink,sub,香水 [スプレー],12,5
nothink,cue,真夏 [真夏],12,5
nothink,tar,真夏 [うどん],12,4
nothink,sub,真夏 [プール],12,5
nothink,cue,都会 [都会],12,5
nothink,tar,都会 [ジャズ],12,5
nothink,sub,都会 [ビル],12,4
