status,type,words,participant,rate
nothink,cue,電車 [電車],5,3
nothink,tar,電車 [カップル],5,3
nothink,sub,電車 [レール],5,3
nothink,cue,雨雲 [雨雲],5,3
nothink,tar,雨雲 [トラック],5,4
nothink,sub,雨雲 [あられ],5,2
nothink,cue,満月 [満月],5,3
nothink,tar,満月 [ミサイル],5,3
nothink,sub,満月 [クレーター],5,3
nothink,cue,網戸 [網戸],5,3
nothink,tar,網戸 [とんぼ],5,3
nothink,sub,網戸 [カーテン],5,3
nothink,cue,舞台 [舞台],5,4
nothink,tar,舞台 [とんかち],5,2
nothink,sub,舞台 [オペラ],5,1
nothink,cue,旅行 [旅行],5,3
nothink,tar,旅行 [ビール],5,1
nothink,sub,旅行 [ホテル],5,4
nothink,cue,面接 [面接],5,3
nothink,tar,面接 [おなか],5,3
nothink,sub,面接 [アルバイト],5,3
nothink,cue,王様 [王様],5,4
nothink,tar,王様 [カジノ],5,1
nothink,sub,王様 [マント],5,4
nothink,cue,公園 [公園],5,3
nothink,tar,公園 [マナー],5,3
nothink,sub,公園 [シーソー],5,3
nothink,cue,彫刻 [彫刻],5,3
nothink,tar,彫刻 [ダイヤ],5,3
nothink,sub,彫刻 [ナイフ],5,3
nothink,cue,新年 [新年],5,3
nothink,tar,新年 [ニュース],5,3
nothink,sub,新年 [モチつき],5,2
nothink,cue,洞窟 [洞窟],5,3
nothink,tar,洞窟 [コンパス],5,3
nothink,sub,洞窟 [こうもり],5,3
think,cue,学校 [学校],5,5
think,tar,学校 [あじさい],5,1
think,sub,学校 [チャイム],5,1
think,cue,郵便 [郵便],5,2
think,tar,郵便 [はさみ],5,4
think,sub,郵便 [ポスト],5,1
think,cue,雪国 [雪国],5,1
think,tar,雪国 [カレー],5,5
think,sub,雪国 [ストーブ],5,1
think,cue,地球 [地球],5,2
think,tar,地球 [メートル],5,4
think,sub,地球 [マグマ],5,1
think,cue,漫才 [漫才],5,1
think,tar,漫才 [チケット],5,5
think,sub,漫才 [ギャグ],5,1
think,cue,浴衣 [浴衣],5,2
think,tar,浴衣 [おんぶ],5,4
think,sub,浴衣 [うちわ],5,1
think,cue,手品 [手品],5,2
think,tar,手品 [テーブル],5,4
think,sub,手品 [トリック],5,1
think,cue,餃子 [餃子],5,2
think,tar,餃子 [レンジ],5,4
think,sub,餃子 [にんにく],5,1
think,cue,銭湯 [銭湯],5,2
think,tar,銭湯 [バケツ],5,5
think,sub,銭湯 [サウナ],5,1
think,cue,香水 [香水],5,1
think,tar,香水 [ズボン],5,5
think,sub,香水 [スプレー],5,1
think,cue,真夏 [真夏],5,1
think,tar,真夏 [うどん],5,5
think,sub,真夏 [プール],5,1
think,cue,都会 [都会],5,1
think,tar,都会 [ジャズ],5,5
think,sub,都会 [ビル],5,1
