status,type,words,participant,rate
nothink,cue,電車 [電車],16,2
nothink,tar,電車 [カップル],16,3
nothink,sub,電車 [レール],16,3
nothink,cue,雨雲 [雨雲],16,2
nothink,tar,雨雲 [トラック],16,3
nothink,sub,雨雲 [あられ],16,4
nothink,cue,満月 [満月],16,3
nothink,tar,満月 [ミサイル],16,2
nothink,sub,満月 [クレーター],16,3
nothink,cue,網戸 [網戸],16,4
nothink,tar,網戸 [とんぼ],16,3
nothink,sub,網戸 [カーテン],16,3
nothink,cue,舞台 [舞台],16,2
nothink,tar,舞台 [とんかち],16,2
nothink,sub,舞台 [オペラ],16,3
nothink,cue,旅行 [旅行],16,4
nothink,tar,旅行 [ビール],16,4
nothink,sub,旅行 [ホテル],16,4
nothink,cue,面接 [面接],16,2
nothink,tar,面接 [おなか],16,2
nothink,sub,面接 [アルバイト],16,4
nothink,cue,王様 [王様],16,3
nothink,tar,王様 [カジノ],16,2
nothink,sub,王様 [マント],16,3
nothink,cue,公園 [公園],16,4
nothink,tar,公園 [マナー],16,2
nothink,sub,公園 [シーソー],16,4
nothink,cue,彫刻 [彫刻],16,2
nothink,tar,彫刻 [ダイヤ],16,2
nothink,sub,彫刻 [ナイフ],16,3
nothink,cue,新年 [新年],16,2
nothink,tar,新年 [ニュース],16,3
nothink,sub,新年 [モチつき],16,2
nothink,cue,洞窟 [洞窟],16,2
nothink,tar,洞窟 [コンパス],16,2
nothink,sub,洞窟 [こうもり],16,3
think,cue,屋台 [屋台],16,4
think,tar,屋台 [まぐろ],16,4
think,sub,屋台 [おしぼり],16,1
think,cue,競走 [競走],16,4
think,tar,競走 [うさぎ],16,4
think,sub,競走 [ゼッケン],16,1
think,cue,財布 [財布],16,4
think,tar,財布 [ワニ],16,4
think,sub,財布 [カード],16,1
think,cue,野宿 [野宿],16,4
think,tar,野宿 [カラス],16,4
think,sub,野宿 [テント],16,1
think,cue,映画 [映画],16,4
think,tar,映画 [カフェ],16,4
think,sub,映画 [フィルム],16,1
think,cue,登山 [登山],16,4
think,tar,登山 [ラジオ],16,4
think,sub,登山 [アルプス],16,1
think,cue,砂漠 [砂漠],16,4
think,tar,砂漠 [ゴルフ],16,4
think,sub,砂漠 [オアシス],16,1
think,cue,油絵 [油絵],16,4
think,tar,油絵 [ローマ],16,4
think,sub,油絵 [デッサン],16,1
think,cue,缶詰 [缶詰],16,3
think,tar,缶詰 [バナナ],16,3
think,sub,缶詰 [リサイクル],16,1
think,cue,幼児 [幼児],16,4
think,tar,幼児 [ピアノ],16,4
think,sub,幼児 [おしゃぶり],16,1
think,cue,和室 [和室],16,4
think,tar,和室 [ろうそく],16,4
think,sub,和室 [ふすま],16,1
think,cue,坊主 [坊主],16,3
think,tar,坊主 [ほくろ],16,3
think,sub,坊主 [バリカン],16,1
