ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,3
2,think,1,1,NA,3
3,think,1,1,NA,3
4,think,1,1,NA,3
5,think,0,1,NA,3
6,think,1,1,NA,3
7,think,1,1,NA,3
8,think,1,1,NA,3
9,think,1,1,NA,3
10,think,1,1,NA,3
11,think,1,1,NA,3
12,think,1,1,NA,3
13,baseline,1,1,NA,3
14,baseline,1,1,NA,3
15,baseline,1,1,NA,3
16,baseline,1,1,NA,3
17,baseline,1,1,NA,3
18,baseline,1,1,NA,3
19,baseline,1,1,NA,3
20,baseline,1,1,NA,3
21,baseline,1,1,NA,3
22,baseline,1,1,NA,3
23,baseline,1,1,NA,3
24,baseline,1,1,NA,3
25,nothink,1,1,0,3
26,nothink,1,0,0,3
27,nothink,0,0,0,3
28,nothink,1,1,1,3
29,nothink,0,0,1,3
30,nothink,1,0,0,3
31,nothink,1,1,1,3
32,nothink,1,1,1,3
33,nothink,1,0,1,3
34,nothink,1,1,1,3
35,nothink,1,1,1,3
36,nothink,1,1,0,3
