ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,13
2,think,1,1,NA,13
3,think,1,1,NA,13
4,think,1,1,NA,13
5,think,1,1,NA,13
6,think,1,1,NA,13
7,think,1,1,NA,13
8,think,1,1,NA,13
9,think,1,1,NA,13
10,think,1,1,NA,13
11,think,1,1,NA,13
12,think,1,1,NA,13
13,nothink,1,1,1,13
14,nothink,1,1,1,13
15,nothink,1,1,1,13
16,nothink,1,1,1,13
17,nothink,1,1,1,13
18,nothink,1,1,1,13
19,nothink,1,1,1,13
20,nothink,1,1,1,13
21,nothink,1,1,1,13
22,nothink,1,1,1,13
23,nothink,1,1,1,13
24,nothink,1,1,1,13
25,baseline,1,1,NA,13
26,baseline,1,1,NA,13
27,baseline,1,1,NA,13
28,baseline,1,1,NA,13
29,baseline,1,1,NA,13
30,baseline,1,1,NA,13
31,baseline,1,1,NA,13
32,baseline,1,1,NA,13
33,baseline,1,1,NA,13
34,baseline,1,1,NA,13
35,baseline,1,1,NA,13
36,baseline,1,1,NA,13
