status,type,words,participant,rate
think,cue,電車 [電車],11,3
think,tar,電車 [カップル],11,2
think,sub,電車 [レール],11,1
think,cue,雨雲 [雨雲],11,4
think,tar,雨雲 [トラック],11,4
think,sub,雨雲 [あられ],11,1
think,cue,満月 [満月],11,5
think,tar,満月 [ミサイル],11,5
think,sub,満月 [クレーター],11,1
think,cue,網戸 [網戸],11,5
think,tar,網戸 [とんぼ],11,4
think,sub,網戸 [カーテン],11,1
think,cue,舞台 [舞台],11,2
think,tar,舞台 [とんかち],11,5
think,sub,舞台 [オペラ],11,1
think,cue,旅行 [旅行],11,1
think,tar,旅行 [ビール],11,4
think,sub,旅行 [ホテル],11,1
think,cue,面接 [面接],11,3
think,tar,面接 [おなか],11,3
think,sub,面接 [アルバイト],11,1
think,cue,王様 [王様],11,2
think,tar,王様 [カジノ],11,3
think,sub,王様 [マント],11,1
think,cue,公園 [公園],11,4
think,tar,公園 [マナー],11,2
think,sub,公園 [シーソー],11,1
think,cue,彫刻 [彫刻],11,4
think,tar,彫刻 [ダイヤ],11,4
think,sub,彫刻 [ナイフ],11,1
think,cue,新年 [新年],11,4
think,tar,新年 [ニュース],11,3
think,sub,新年 [モチつき],11,1
think,cue,洞窟 [洞窟],11,3
think,tar,洞窟 [コンパス],11,4
think,sub,洞窟 [こうもり],11,1
nothink,cue,学校 [学校],11,5
nothink,tar,学校 [あじさい],11,3
nothink,sub,学校 [チャイム],11,2
nothink,cue,郵便 [郵便],11,4
nothink,tar,郵便 [はさみ],11,3
nothink,sub,郵便 [ポスト],11,2
nothink,cue,雪国 [雪国],11,5
nothink,tar,雪国 [カレー],11,2
nothink,sub,雪国 [ストーブ],11,2
nothink,cue,地球 [地球],11,5
nothink,tar,地球 [メートル],11,1
nothink,sub,地球 [マグマ],11,2
nothink,cue,漫才 [漫才],11,4
nothink,tar,漫才 [チケット],11,3
nothink,sub,漫才 [ギャグ],11,2
nothink,cue,浴衣 [浴衣],11,5
nothink,tar,浴衣 [おんぶ],11,2
nothink,sub,浴衣 [うちわ],11,2
nothink,cue,手品 [手品],11,4
nothink,tar,手品 [テーブル],11,3
nothink,sub,手品 [トリック],11,2
nothink,cue,餃子 [餃子],11,5
nothink,tar,餃子 [レンジ],11,3
nothink,sub,餃子 [にんにく],11,2
nothink,cue,銭湯 [銭湯],11,4
nothink,tar,銭湯 [バケツ],11,1
nothink,sub,銭湯 [サウナ],11,2
nothink,cue,香水 [香水],11,5
nothink,tar,香水 [ズボン],11,2
nothink,sub,香水 [スプレー],11,1
nothink,cue,真夏 [真夏],11,5
nothink,tar,真夏 [うどん],11,3
nothink,sub,真夏 [プール],11,1
nothink,cue,都会 [都会],11,4
nothink,tar,都会 [ジャズ],11,2
nothink,sub,都会 [ビル],11,2
