ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,0,21
2,nothink,1,1,1,21
3,nothink,1,1,1,21
4,nothink,1,1,1,21
5,nothink,1,1,1,21
6,nothink,1,1,1,21
7,nothink,1,1,1,21
8,nothink,1,1,1,21
9,nothink,1,1,0,21
10,nothink,1,1,1,21
11,nothink,1,1,1,21
12,nothink,1,1,1,21
13,baseline,1,1,NA,21
14,baseline,1,1,NA,21
15,baseline,1,1,NA,21
16,baseline,1,1,NA,21
17,baseline,1,1,NA,21
18,baseline,1,1,NA,21
19,baseline,1,1,NA,21
20,baseline,1,1,NA,21
21,baseline,1,1,NA,21
22,baseline,1,1,NA,21
23,baseline,1,1,NA,21
24,baseline,1,1,NA,21
25,think,1,1,NA,21
26,think,1,1,NA,21
27,think,1,1,NA,21
28,think,1,1,NA,21
29,think,1,1,NA,21
30,think,1,1,NA,21
31,think,1,1,NA,21
32,think,1,1,NA,21
33,think,1,1,NA,21
34,think,1,1,NA,21
35,think,1,1,NA,21
36,think,1,1,NA,21
