ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,0,1,33
2,nothink,1,1,1,33
3,nothink,1,1,1,33
4,nothink,1,1,1,33
5,nothink,1,1,1,33
6,nothink,0,0,1,33
7,nothink,1,1,1,33
8,nothink,1,1,1,33
9,nothink,1,1,0,33
10,nothink,1,1,1,33
11,nothink,1,1,1,33
12,nothink,1,1,1,33
13,baseline,1,0,NA,33
14,baseline,1,1,NA,33
15,baseline,1,1,NA,33
16,baseline,1,1,NA,33
17,baseline,1,1,NA,33
18,baseline,1,1,NA,33
19,baseline,1,1,NA,33
20,baseline,1,1,NA,33
21,baseline,1,0,NA,33
22,baseline,1,1,NA,33
23,baseline,1,1,NA,33
24,baseline,1,1,NA,33
25,think,1,1,NA,33
26,think,1,1,NA,33
27,think,1,1,NA,33
28,think,1,1,NA,33
29,think,1,1,NA,33
30,think,1,1,NA,33
31,think,1,1,NA,33
32,think,1,1,NA,33
33,think,1,1,NA,33
34,think,1,1,NA,33
35,think,1,1,NA,33
36,think,1,1,NA,33
