ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,26
2,think,1,1,NA,26
3,think,1,1,NA,26
4,think,1,1,NA,26
5,think,1,1,NA,26
6,think,1,1,NA,26
7,think,1,1,NA,26
8,think,1,1,NA,26
9,think,1,1,NA,26
10,think,1,1,NA,26
11,think,1,1,NA,26
12,think,1,1,NA,26
13,nothink,1,1,1,26
14,nothink,1,1,1,26
15,nothink,1,1,1,26
16,nothink,1,1,1,26
17,nothink,1,0,1,26
18,nothink,1,1,1,26
19,nothink,1,1,1,26
20,nothink,1,1,1,26
21,nothink,1,1,1,26
22,nothink,1,1,1,26
23,nothink,1,1,1,26
24,nothink,1,1,1,26
25,baseline,1,1,NA,26
26,baseline,1,1,NA,26
27,baseline,1,1,NA,26
28,baseline,1,1,NA,26
29,baseline,1,1,NA,26
30,baseline,1,1,NA,26
31,baseline,1,1,NA,26
32,baseline,1,1,NA,26
33,baseline,1,1,NA,26
34,baseline,1,1,NA,26
35,baseline,1,1,NA,26
36,baseline,1,1,NA,26
