ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,19
2,nothink,1,1,1,19
3,nothink,1,1,1,19
4,nothink,1,1,1,19
5,nothink,1,1,1,19
6,nothink,1,1,1,19
7,nothink,1,1,1,19
8,nothink,1,1,1,19
9,nothink,1,1,1,19
10,nothink,0,0,1,19
11,nothink,1,1,1,19
12,nothink,1,1,1,19
13,think,0,0,NA,19
14,think,1,1,NA,19
15,think,1,1,NA,19
16,think,1,1,NA,19
17,think,1,1,NA,19
18,think,1,1,NA,19
19,think,1,1,NA,19
20,think,1,1,NA,19
21,think,0,1,NA,19
22,think,1,1,NA,19
23,think,1,1,NA,19
24,think,1,1,NA,19
25,baseline,1,1,NA,19
26,baseline,1,1,NA,19
27,baseline,1,1,NA,19
28,baseline,1,1,NA,19
29,baseline,1,1,NA,19
30,baseline,1,1,NA,19
31,baseline,1,1,NA,19
32,baseline,1,1,NA,19
33,baseline,1,1,NA,19
34,baseline,1,1,NA,19
35,baseline,1,1,NA,19
36,baseline,1,1,NA,19
