ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,34
2,nothink,1,1,1,34
3,nothink,1,1,1,34
4,nothink,1,1,1,34
5,nothink,0,0,1,34
6,nothink,1,1,1,34
7,nothink,1,1,0,34
8,nothink,1,1,1,34
9,nothink,1,1,1,34
10,nothink,1,1,1,34
11,nothink,1,1,1,34
12,nothink,1,1,1,34
13,baseline,0,0,NA,34
14,baseline,1,1,NA,34
15,baseline,1,1,NA,34
16,baseline,1,1,NA,34
17,baseline,1,1,NA,34
18,baseline,1,1,NA,34
19,baseline,1,1,NA,34
20,baseline,1,1,NA,34
21,baseline,1,1,NA,34
22,baseline,1,1,NA,34
23,baseline,1,1,NA,34
24,baseline,1,1,NA,34
25,think,1,1,NA,34
26,think,1,1,NA,34
27,think,1,1,NA,34
28,think,1,1,NA,34
29,think,1,1,NA,34
30,think,1,1,NA,34
31,think,1,1,NA,34
32,think,1,1,NA,34
33,think,1,1,NA,34
34,think,1,1,NA,34
35,think,1,1,NA,34
36,think,1,1,NA,34
