ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,32
2,nothink,1,1,1,32
3,nothink,1,0,1,32
4,nothink,1,1,1,32
5,nothink,1,1,0,32
6,nothink,1,1,1,32
7,nothink,1,1,1,32
8,nothink,1,1,1,32
9,nothink,1,1,1,32
10,nothink,1,1,0,32
11,nothink,1,1,1,32
12,nothink,1,1,1,32
13,think,1,1,NA,32
14,think,1,1,NA,32
15,think,1,1,NA,32
16,think,1,1,NA,32
17,think,1,1,NA,32
18,think,1,0,NA,32
19,think,1,1,NA,32
20,think,1,1,NA,32
21,think,1,1,NA,32
22,think,1,1,NA,32
23,think,1,1,NA,32
24,think,1,1,NA,32
25,baseline,1,1,NA,32
26,baseline,1,1,NA,32
27,baseline,1,1,NA,32
28,baseline,1,1,NA,32
29,baseline,1,1,NA,32
30,baseline,1,1,NA,32
31,baseline,1,1,NA,32
32,baseline,1,1,NA,32
33,baseline,1,1,NA,32
34,baseline,1,1,NA,32
35,baseline,1,1,NA,32
36,baseline,1,1,NA,32
