ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,6
2,baseline,1,1,NA,6
3,baseline,1,1,NA,6
4,baseline,1,1,NA,6
5,baseline,1,1,NA,6
6,baseline,1,1,NA,6
7,baseline,1,1,NA,6
8,baseline,1,1,NA,6
9,baseline,1,1,NA,6
10,baseline,1,1,NA,6
11,baseline,1,1,NA,6
12,baseline,1,1,NA,6
13,think,1,1,NA,6
14,think,1,1,NA,6
15,think,1,1,NA,6
16,think,1,1,NA,6
17,think,1,1,NA,6
18,think,1,1,NA,6
19,think,0,0,NA,6
20,think,1,1,NA,6
21,think,1,1,NA,6
22,think,1,1,NA,6
23,think,1,1,NA,6
24,think,1,1,NA,6
25,nothink,1,1,1,6
26,nothink,1,1,1,6
27,nothink,1,1,1,6
28,nothink,1,1,1,6
29,nothink,1,1,1,6
30,nothink,1,1,1,6
31,nothink,1,1,1,6
32,nothink,1,1,1,6
33,nothink,1,0,0,6
34,nothink,1,1,1,6
35,nothink,1,1,1,6
36,nothink,1,1,1,6
