ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,8
2,nothink,1,1,1,8
3,nothink,1,1,1,8
4,nothink,1,1,1,8
5,nothink,1,1,1,8
6,nothink,1,1,1,8
7,nothink,1,1,1,8
8,nothink,1,1,1,8
9,nothink,1,1,1,8
10,nothink,1,1,1,8
11,nothink,1,1,1,8
12,nothink,1,1,1,8
13,think,1,1,NA,8
14,think,1,1,NA,8
15,think,1,1,NA,8
16,think,1,1,NA,8
17,think,1,1,NA,8
18,think,1,1,NA,8
19,think,1,1,NA,8
20,think,1,1,NA,8
21,think,1,1,NA,8
22,think,1,1,NA,8
23,think,1,1,NA,8
24,think,1,1,NA,8
25,baseline,1,1,NA,8
26,baseline,1,1,NA,8
27,baseline,1,1,NA,8
28,baseline,1,1,NA,8
29,baseline,1,1,NA,8
30,baseline,1,1,NA,8
31,baseline,1,1,NA,8
32,baseline,1,1,NA,8
33,baseline,1,1,NA,8
34,baseline,1,1,NA,8
35,baseline,1,1,NA,8
36,baseline,1,1,NA,8
