status,type,words,participant,rate
nothink,cue,郵便 [郵便],1,4
nothink,tar,郵便 [はさみ],1,2
nothink,sub,郵便 [ポスト],1,3
nothink,cue,学校 [学校],1,4
nothink,tar,学校 [あじさい],1,2
nothink,sub,学校 [チャイム],1,3
nothink,cue,雪国 [雪国],1,5
nothink,tar,雪国 [カレー],1,1
nothink,sub,雪国 [ストーブ],1,3
nothink,cue,地球 [地球],1,5
nothink,tar,地球 [メートル],1,2
nothink,sub,地球 [マグマ],1,2
nothink,cue,漫才 [漫才],1,5
nothink,tar,漫才 [チケット],1,1
nothink,sub,漫才 [ギャグ],1,2
nothink,cue,浴衣 [浴衣],1,5
nothink,tar,浴衣 [おんぶ],1,1
nothink,sub,浴衣 [うちわ],1,3
nothink,cue,手品 [手品],1,5
nothink,tar,手品 [テーブル],1,2
nothink,sub,手品 [トリック],1,2
nothink,cue,餃子 [餃子],1,5
nothink,tar,餃子 [レンジ],1,1
nothink,sub,餃子 [にんにく],1,2
nothink,cue,銭湯 [銭湯],1,4
nothink,tar,銭湯 [バケツ],1,1
nothink,sub,銭湯 [サウナ],1,2
nothink,cue,香水 [香水],1,5
nothink,tar,香水 [ズボン],1,2
nothink,sub,香水 [スプレー],1,4
nothink,cue,真夏 [真夏],1,5
nothink,tar,真夏 [うどん],1,1
nothink,sub,真夏 [プール],1,3
nothink,cue,都会 [都会],1,4
nothink,tar,都会 [ジャズ],1,2
nothink,sub,都会 [ビル],1,4
think,cue,屋台 [屋台],1,4
think,tar,屋台 [まぐろ],1,5
think,sub,屋台 [おしぼり],1,1
think,cue,競走 [競走],1,4
think,tar,競走 [うさぎ],1,5
think,sub,競走 [ゼッケン],1,1
think,cue,財布 [財布],1,3
think,tar,財布 [ワニ],1,5
think,sub,財布 [カード],1,1
think,cue,野宿 [野宿],1,5
think,tar,野宿 [カラス],1,1
think,sub,野宿 [テント],1,1
think,cue,映画 [映画],1,4
think,tar,映画 [カフェ],1,5
think,sub,映画 [フィルム],1,1
think,cue,登山 [登山],1,5
think,tar,登山 [ラジオ],1,4
think,sub,登山 [アルプス],1,1
think,cue,砂漠 [砂漠],1,5
think,tar,砂漠 [ゴルフ],1,1
think,sub,砂漠 [オアシス],1,1
think,cue,油絵 [油絵],1,3
think,tar,油絵 [ローマ],1,5
think,sub,油絵 [デッサン],1,1
think,cue,缶詰 [缶詰],1,5
think,tar,缶詰 [バナナ],1,2
think,sub,缶詰 [リサイクル],1,1
think,cue,幼児 [幼児],1,4
think,tar,幼児 [ピアノ],1,5
think,sub,幼児 [おしゃぶり],1,1
think,cue,和室 [和室],1,5
think,tar,和室 [ろうそく],1,4
think,sub,和室 [ふすま],1,1
think,cue,坊主 [坊主],1,3
think,tar,坊主 [ほくろ],1,5
think,sub,坊主 [バリカン],1,1
