status,type,words,participant,rate
think,cue,電車 [電車],22,4
think,tar,電車 [カップル],22,4
think,sub,電車 [レール],22,1
think,cue,雨雲 [雨雲],22,2
think,tar,雨雲 [トラック],22,2
think,sub,雨雲 [あられ],22,1
think,cue,満月 [満月],22,3
think,tar,満月 [ミサイル],22,5
think,sub,満月 [クレーター],22,1
think,cue,網戸 [網戸],22,3
think,tar,網戸 [とんぼ],22,5
think,sub,網戸 [カーテン],22,1
think,cue,舞台 [舞台],22,3
think,tar,舞台 [とんかち],22,3
think,sub,舞台 [オペラ],22,1
think,cue,旅行 [旅行],22,3
think,tar,旅行 [ビール],22,4
think,sub,旅行 [ホテル],22,1
think,cue,面接 [面接],22,3
think,tar,面接 [おなか],22,5
think,sub,面接 [アルバイト],22,1
think,cue,王様 [王様],22,3
think,tar,王様 [カジノ],22,5
think,sub,王様 [マント],22,1
think,cue,公園 [公園],22,3
think,tar,公園 [マナー],22,3
think,sub,公園 [シーソー],22,1
think,cue,彫刻 [彫刻],22,2
think,tar,彫刻 [ダイヤ],22,4
think,sub,彫刻 [ナイフ],22,1
think,cue,新年 [新年],22,2
think,tar,新年 [ニュース],22,5
think,sub,新年 [モチつき],22,1
think,cue,洞窟 [洞窟],22,3
think,tar,洞窟 [コンパス],22,1
think,sub,洞窟 [こうもり],22,1
nothink,cue,屋台 [屋台],22,2
nothink,tar,屋台 [まぐろ],22,4
nothink,sub,屋台 [おしぼり],22,2
nothink,cue,競走 [競走],22,2
nothink,tar,競走 [うさぎ],22,4
nothink,sub,競走 [ゼッケン],22,2
nothink,cue,財布 [財布],22,3
nothink,tar,財布 [ワニ],22,1
nothink,sub,財布 [カード],22,5
nothink,cue,野宿 [野宿],22,3
nothink,tar,野宿 [カラス],22,4
nothink,sub,野宿 [テント],22,2
nothink,cue,映画 [映画],22,3
nothink,tar,映画 [カフェ],22,5
nothink,sub,映画 [フィルム],22,4
nothink,cue,登山 [登山],22,2
nothink,tar,登山 [ラジオ],22,1
nothink,sub,登山 [アルプス],22,2
nothink,cue,砂漠 [砂漠],22,2
nothink,tar,砂漠 [ゴルフ],22,2
nothink,sub,砂漠 [オアシス],22,1
nothink,cue,油絵 [油絵],22,2
nothink,tar,油絵 [ローマ],22,3
nothink,sub,油絵 [デッサン],22,2
nothink,cue,缶詰 [缶詰],22,4
nothink,tar,缶詰 [バナナ],22,3
nothink,sub,缶詰 [リサイクル],22,5
nothink,cue,幼児 [幼児],22,2
nothink,tar,幼児 [ピアノ],22,4
nothink,sub,幼児 [おしゃぶり],22,2
nothink,cue,和室 [和室],22,2
nothink,tar,和室 [ろうそく],22,1
nothink,sub,和室 [ふすま],22,3
nothink,cue,坊主 [坊主],22,3
nothink,tar,坊主 [ほくろ],22,4
nothink,sub,坊主 [バリカン],22,2
