ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,10
2,nothink,1,1,1,10
3,nothink,1,1,1,10
4,nothink,1,1,1,10
5,nothink,1,1,1,10
6,nothink,0,1,1,10
7,nothink,1,0,1,10
8,nothink,1,1,1,10
9,nothink,1,1,1,10
10,nothink,1,0,1,10
11,nothink,1,1,1,10
12,nothink,1,1,1,10
13,baseline,1,0,NA,10
14,baseline,1,1,NA,10
15,baseline,0,1,NA,10
16,baseline,1,1,NA,10
17,baseline,1,1,NA,10
18,baseline,1,1,NA,10
19,baseline,1,1,NA,10
20,baseline,1,1,NA,10
21,baseline,1,1,NA,10
22,baseline,1,1,NA,10
23,baseline,1,1,NA,10
24,baseline,1,1,NA,10
25,think,1,1,NA,10
26,think,1,1,NA,10
27,think,1,1,NA,10
28,think,1,1,NA,10
29,think,1,1,NA,10
30,think,0,1,NA,10
31,think,1,1,NA,10
32,think,1,1,NA,10
33,think,1,1,NA,10
34,think,1,1,NA,10
35,think,1,1,NA,10
36,think,1,1,NA,10
