ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,0,1,22
2,nothink,1,1,1,22
3,nothink,0,0,1,22
4,nothink,1,1,1,22
5,nothink,1,1,1,22
6,nothink,0,0,1,22
7,nothink,1,1,1,22
8,nothink,1,1,1,22
9,nothink,1,1,1,22
10,nothink,1,1,1,22
11,nothink,0,0,1,22
12,nothink,0,1,1,22
13,baseline,1,1,NA,22
14,baseline,0,0,NA,22
15,baseline,1,1,NA,22
16,baseline,1,1,NA,22
17,baseline,1,1,NA,22
18,baseline,1,1,NA,22
19,baseline,1,1,NA,22
20,baseline,1,1,NA,22
21,baseline,1,1,NA,22
22,baseline,1,1,NA,22
23,baseline,0,0,NA,22
24,baseline,1,1,NA,22
25,think,1,1,NA,22
26,think,1,1,NA,22
27,think,1,1,NA,22
28,think,1,1,NA,22
29,think,1,0,NA,22
30,think,0,1,NA,22
31,think,0,0,NA,22
32,think,1,1,NA,22
33,think,1,1,NA,22
34,think,0,1,NA,22
35,think,1,1,NA,22
36,think,0,0,NA,22
