ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,36
2,baseline,1,1,NA,36
3,baseline,1,1,NA,36
4,baseline,1,1,NA,36
5,baseline,1,1,NA,36
6,baseline,1,1,NA,36
7,baseline,1,1,NA,36
8,baseline,1,1,NA,36
9,baseline,1,1,NA,36
10,baseline,1,1,NA,36
11,baseline,1,1,NA,36
12,baseline,1,1,NA,36
13,nothink,0,1,1,36
14,nothink,1,1,1,36
15,nothink,1,1,1,36
16,nothink,1,1,1,36
17,nothink,1,1,1,36
18,nothink,1,1,1,36
19,nothink,1,1,1,36
20,nothink,1,1,1,36
21,nothink,0,0,1,36
22,nothink,1,1,1,36
23,nothink,1,1,1,36
24,nothink,1,1,1,36
25,think,1,1,NA,36
26,think,1,1,NA,36
27,think,1,1,NA,36
28,think,1,1,NA,36
29,think,1,1,NA,36
30,think,1,1,NA,36
31,think,1,1,NA,36
32,think,1,1,NA,36
33,think,1,1,NA,36
34,think,1,1,NA,36
35,think,1,1,NA,36
36,think,1,1,NA,36
