ID,condition,learning,target_recall,sub_recall,participant
1,nothink,1,1,1,9
2,nothink,1,1,0,9
3,nothink,1,1,1,9
4,nothink,1,0,1,9
5,nothink,1,1,0,9
6,nothink,0,0,1,9
7,nothink,1,0,1,9
8,nothink,1,1,1,9
9,nothink,1,1,0,9
10,nothink,1,0,1,9
11,nothink,0,0,0,9
12,nothink,1,0,0,9
13,baseline,0,0,NA,9
14,baseline,1,1,NA,9
15,baseline,1,1,NA,9
16,baseline,1,1,NA,9
17,baseline,1,1,NA,9
18,baseline,1,1,NA,9
19,baseline,1,1,NA,9
20,baseline,1,0,NA,9
21,baseline,0,0,NA,9
22,baseline,1,1,NA,9
23,baseline,1,0,NA,9
24,baseline,1,1,NA,9
25,think,1,1,NA,9
26,think,1,1,NA,9
27,think,1,1,NA,9
28,think,1,1,NA,9
29,think,0,1,NA,9
30,think,1,1,NA,9
31,think,1,1,NA,9
32,think,1,1,NA,9
33,think,1,1,NA,9
34,think,1,1,NA,9
35,think,1,1,NA,9
36,think,1,1,NA,9
