ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,28
2,think,1,1,NA,28
3,think,1,1,NA,28
4,think,1,1,NA,28
5,think,1,1,NA,28
6,think,1,1,NA,28
7,think,1,1,NA,28
8,think,1,1,NA,28
9,think,1,1,NA,28
10,think,1,1,NA,28
11,think,1,1,NA,28
12,think,1,1,NA,28
13,baseline,1,1,NA,28
14,baseline,1,1,NA,28
15,baseline,1,1,NA,28
16,baseline,1,1,NA,28
17,baseline,1,1,NA,28
18,baseline,1,1,NA,28
19,baseline,1,1,NA,28
20,baseline,1,1,NA,28
21,baseline,1,1,NA,28
22,baseline,1,1,NA,28
23,baseline,1,1,NA,28
24,baseline,1,1,NA,28
25,nothink,1,1,1,28
26,nothink,1,1,1,28
27,nothink,1,1,1,28
28,nothink,1,1,1,28
29,nothink,1,1,1,28
30,nothink,1,1,1,28
31,nothink,1,1,1,28
32,nothink,1,1,1,28
33,nothink,1,1,1,28
34,nothink,1,0,1,28
35,nothink,1,1,1,28
36,nothink,1,1,1,28
