ID,condition,learning,target_recall,sub_recall,participant
1,think,1,1,NA,27
2,think,1,0,NA,27
3,think,1,1,NA,27
4,think,1,1,NA,27
5,think,1,0,NA,27
6,think,1,1,NA,27
7,think,1,1,NA,27
8,think,1,1,NA,27
9,think,0,1,NA,27
10,think,1,1,NA,27
11,think,1,1,NA,27
12,think,1,1,NA,27
13,baseline,0,0,NA,27
14,baseline,1,1,NA,27
15,baseline,1,1,NA,27
16,baseline,1,1,NA,27
17,baseline,0,0,NA,27
18,baseline,0,0,NA,27
19,baseline,1,1,NA,27
20,baseline,1,1,NA,27
21,baseline,1,1,NA,27
22,baseline,1,1,NA,27
23,baseline,1,1,NA,27
24,baseline,1,1,NA,27
25,nothink,1,1,0,27
26,nothink,0,0,0,27
27,nothink,1,1,1,27
28,nothink,1,1,1,27
29,nothink,0,0,1,27
30,nothink,1,1,0,27
31,nothink,1,0,1,27
32,nothink,1,1,1,27
33,nothink,1,1,1,27
34,nothink,1,1,0,27
35,nothink,1,1,0,27
36,nothink,1,1,1,27
