ID,condition,learning,target_recall,sub_recall,participant
1,baseline,0,0,NA,24
2,baseline,1,1,NA,24
3,baseline,1,1,NA,24
4,baseline,1,1,NA,24
5,baseline,0,1,NA,24
6,baseline,1,1,NA,24
7,baseline,1,1,NA,24
8,baseline,1,1,NA,24
9,baseline,1,1,NA,24
10,baseline,1,1,NA,24
11,baseline,1,1,NA,24
12,baseline,1,1,NA,24
13,nothink,1,1,1,24
14,nothink,1,0,1,24
15,nothink,1,1,1,24
16,nothink,1,1,1,24
17,nothink,1,1,1,24
18,nothink,1,1,1,24
19,nothink,1,1,1,24
20,nothink,1,0,1,24
21,nothink,1,1,1,24
22,nothink,1,1,1,24
23,nothink,1,1,1,24
24,nothink,1,1,1,24
25,think,1,1,NA,24
26,think,1,1,NA,24
27,think,1,1,NA,24
28,think,1,1,NA,24
29,think,1,1,NA,24
30,think,1,1,NA,24
31,think,1,1,NA,24
32,think,1,1,NA,24
33,think,1,1,NA,24
34,think,1,1,NA,24
35,think,1,1,NA,24
36,think,1,1,NA,24
