ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,0,NA,29
2,baseline,1,1,NA,29
3,baseline,1,1,NA,29
4,baseline,1,1,NA,29
5,baseline,0,0,NA,29
6,baseline,0,0,NA,29
7,baseline,1,1,NA,29
8,baseline,1,1,NA,29
9,baseline,1,1,NA,29
10,baseline,1,1,NA,29
11,baseline,1,1,NA,29
12,baseline,1,1,NA,29
13,think,1,1,NA,29
14,think,1,1,NA,29
15,think,1,1,NA,29
16,think,1,1,NA,29
17,think,1,1,NA,29
18,think,1,1,NA,29
19,think,1,1,NA,29
20,think,1,1,NA,29
21,think,1,1,NA,29
22,think,1,1,NA,29
23,think,1,1,NA,29
24,think,1,1,NA,29
25,nothink,1,1,0,29
26,nothink,1,0,0,29
27,nothink,1,0,1,29
28,nothink,1,1,0,29
29,nothink,1,1,0,29
30,nothink,1,1,1,29
31,nothink,1,1,0,29
32,nothink,1,1,1,29
33,nothink,1,1,0,29
34,nothink,1,1,1,29
35,nothink,1,1,1,29
36,nothink,1,1,0,29
