participant,ID,substitute,sub_corr,sub_rt
31,1,ランチ,1,1.461
31,2,おしゃぶり,1,0.999
31,3,モチつき,1,1.506
31,4,レール,1,0.886
31,5,デッサン,1,0.853
31,6,あられ,1,1.939
31,7,シーソー,1,2.538
31,8,マント,1,1.357
31,9,カード,1,1.273
31,10,うちわ,1,0.892
31,11,フィルム,1,1.958
31,12,ふすま,1,0.935
