word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,3,44
弁当 [みりん],tar,nothink,1,44
弁当 [ランチ],sub,nothink,5,44
幼児 [幼児],cue,nothink,3,44
幼児 [ピアノ],tar,nothink,1,44
幼児 [おしゃぶり],sub,nothink,5,44
新年 [新年],cue,nothink,3,44
新年 [ニュース],tar,nothink,1,44
新年 [モチつき],sub,nothink,5,44
電車 [電車],cue,nothink,3,44
電車 [カップル],tar,nothink,1,44
電車 [レール],sub,nothink,5,44
油絵 [油絵],cue,nothink,4,44
油絵 [ローマ],tar,nothink,1,44
油絵 [デッサン],sub,nothink,5,44
雨雲 [雨雲],cue,nothink,3,44
雨雲 [トラック],tar,nothink,1,44
雨雲 [あられ],sub,nothink,5,44
公園 [公園],cue,nothink,3,44
公園 [マナー],tar,nothink,1,44
公園 [シーソー],sub,nothink,5,44
王様 [王様],cue,nothink,3,44
王様 [カジノ],tar,nothink,1,44
王様 [マント],sub,nothink,5,44
浴衣 [浴衣],cue,nothink,3,44
浴衣 [おんぶ],tar,nothink,1,44
浴衣 [うちわ],sub,nothink,5,44
映画 [映画],cue,nothink,3,44
映画 [ムード],tar,nothink,1,44
映画 [フィルム],sub,nothink,5,44
和室 [和室],cue,nothink,3,44
和室 [ろうそく],tar,nothink,2,44
和室 [ふすま],sub,nothink,5,44
財布 [財布],cue,think,3,44
財布 [ワニ],tar,think,5,44
財布 [カード],sub,think,2,44
香水 [香水],cue,think,2,44
香水 [モデル],tar,think,5,44
香水 [スプレー],sub,think,1,44
屋台 [屋台],cue,think,3,44
屋台 [まぐろ],tar,think,5,44
屋台 [おしぼり],sub,think,1,44
漫才 [漫才],cue,think,3,44
漫才 [スーツ],tar,think,5,44
漫才 [ギャグ],sub,think,1,44
網戸 [網戸],cue,think,3,44
網戸 [とんぼ],tar,think,5,44
網戸 [カーテン],sub,think,1,44
雪国 [雪国],cue,think,2,44
雪国 [カレー],tar,think,5,44
雪国 [ストーブ],sub,think,1,44
彫刻 [彫刻],cue,think,3,44
彫刻 [ダイヤ],tar,think,5,44
彫刻 [ナイフ],sub,think,1,44
登山 [登山],cue,think,3,44
登山 [ラジオ],tar,think,4,44
登山 [アルプス],sub,think,1,44
満月 [満月],cue,think,3,44
満月 [ベランダ],tar,think,5,44
満月 [クレーター],sub,think,1,44
都会 [都会],cue,think,2,44
都会 [ジャズ],tar,think,5,44
都会 [ビル],sub,think,1,44
旅行 [旅行],cue,think,3,44
旅行 [ビール],tar,think,4,44
旅行 [ホテル],sub,think,1,44
洞窟 [洞窟],cue,think,3,44
洞窟 [コンパス],tar,think,4,44
洞窟 [こうもり],sub,think,1,44
砂漠 [砂漠],cue,think,3,44
砂漠 [ゴルフ],tar,think,5,44
砂漠 [オアシス],sub,think,1,44
