item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,think,1,1,NA,0.397042036057,incong,0,1.069,0.644,39
2,ピアノ,think,1,1,NA,0.547497987747,incong,0,0.749,0.895,39
3,ニュース,think,1,1,NA,0.497009992599,cong,0,0.818,0.89,39
4,カップル,think,1,1,NA,0.463794946671,cong,0,1.46,1.152,39
5,ローマ,think,1,1,NA,0.330710887909,incong,0,0.927,0.88,39
6,トラック,think,1,1,NA,0.480386018753,incong,0,1.395,0.866,39
7,マナー,think,1,1,NA,0.411065816879,cong,0,1.099,1.753,39
8,カジノ,think,1,1,NA,0.364145994186,cong,0,1.241,0.847,39
9,ワニ,think,1,1,NA,0.447592020035,incong,0,0.945,0.881,39
10,おんぶ,think,1,1,NA,0.48054504394500003,incong,0,1.311,1.132,39
11,ムード,think,1,1,NA,0.397192955017,cong,0,0.666,0.788,39
12,ろうそく,think,1,1,NA,0.464479923248,cong,0,0.777,0.913,39
13,モデル,baseline,1,1,NA,0.431009054184,incong,0,1.244,1.722,39
14,まぐろ,baseline,1,1,NA,0.647568941116,incong,0,2.914,2.069,39
15,スーツ,baseline,1,1,NA,0.380803108215,cong,0,1.373,0.909,39
16,とんぼ,baseline,1,1,NA,0.497510910034,cong,0,1.014,1.957,39
17,カレー,baseline,1,1,NA,0.430724859238,incong,0,0.761,0.923,39
18,ダイヤ,baseline,1,1,NA,0.397587060928,incong,0,2.925,1.064,39
19,ラジオ,baseline,1,1,NA,0.530856847763,cong,0,1.069,1.151,39
20,ベランダ,baseline,1,1,NA,0.447279930115,cong,0,1.371,2.367,39
21,ジャズ,baseline,1,1,NA,0.364305019379,incong,0,1.591,1.162,39
22,ビール,baseline,1,1,NA,0.514446973801,incong,0,0.754,0.878,39
23,コンパス,baseline,1,1,NA,0.464119911194,cong,0,1.805,1.76,39
24,ゴルフ,baseline,1,1,NA,0.630988121033,cong,0,1.345,3,39
25,ほくろ,nothink,1,1,1,0.480736017227,incong,0,0.782,1.501,39
26,テーブル,nothink,1,1,1,0.647663831711,incong,0,1.086,0.942,39
27,メートル,nothink,1,1,1,0.46427989006,cong,0,0.688,0.753,39
28,レンジ,nothink,1,1,1,0.514010906219,cong,0,0.785,1.53,39
29,あじさい,nothink,1,1,1,0.514147996902,incong,0,0.739,0.847,39
30,はさみ,nothink,1,1,1,0.546957969666,incong,0,0.82,1.213,39
31,しゃもじ,nothink,1,1,0,0.447751045227,cong,0,2.552,1.568,39
32,バナナ,nothink,1,1,1,0.480841159821,cong,0,0.683,0.994,39
33,バケツ,nothink,1,1,1,0.380784988403,incong,0,0.846,1.052,39
34,うさぎ,nothink,1,1,0,0.580400943756,incong,0,0.777,0.834,39
35,うどん,nothink,1,1,1,0.564157962799,cong,0,1.591,1.833,39
36,カラス,nothink,1,0,0,0.497622966766,cong,0,0.726,NA,39
