word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,4,34
弁当 [みりん],tar,nothink,2,34
弁当 [ランチ],sub,nothink,3,34
幼児 [幼児],cue,nothink,4,34
幼児 [ピアノ],tar,nothink,2,34
幼児 [おしゃぶり],sub,nothink,4,34
新年 [新年],cue,nothink,4,34
新年 [ニュース],tar,nothink,2,34
新年 [モチつき],sub,nothink,4,34
電車 [電車],cue,nothink,3,34
電車 [カップル],tar,nothink,2,34
電車 [レール],sub,nothink,4,34
油絵 [油絵],cue,nothink,4,34
油絵 [ローマ],tar,nothink,2,34
油絵 [デッサン],sub,nothink,4,34
雨雲 [雨雲],cue,nothink,4,34
雨雲 [トラック],tar,nothink,3,34
雨雲 [あられ],sub,nothink,4,34
公園 [公園],cue,nothink,4,34
公園 [マナー],tar,nothink,2,34
公園 [シーソー],sub,nothink,4,34
王様 [王様],cue,nothink,4,34
王様 [カジノ],tar,nothink,4,34
王様 [マント],sub,nothink,4,34
財布 [財布],cue,nothink,4,34
財布 [ワニ],tar,nothink,2,34
財布 [カード],sub,nothink,4,34
浴衣 [浴衣],cue,nothink,4,34
浴衣 [おんぶ],tar,nothink,1,34
浴衣 [うちわ],sub,nothink,4,34
映画 [映画],cue,nothink,4,34
映画 [ムード],tar,nothink,3,34
映画 [フィルム],sub,nothink,4,34
和室 [和室],cue,think,3,34
和室 [ろうそく],tar,think,3,34
和室 [ふすま],sub,think,3,34
坊主 [坊主],cue,think,4,34
坊主 [ほくろ],tar,think,4,34
坊主 [バリカン],sub,think,1,34
手品 [手品],cue,think,3,34
手品 [テーブル],tar,think,4,34
手品 [トリック],sub,think,4,34
地球 [地球],cue,think,4,34
地球 [メートル],tar,think,4,34
地球 [マグマ],sub,think,1,34
餃子 [餃子],cue,think,4,34
餃子 [レンジ],tar,think,3,34
餃子 [にんにく],sub,think,1,34
学校 [学校],cue,think,4,34
学校 [あじさい],tar,think,4,34
学校 [チャイム],sub,think,1,34
郵便 [郵便],cue,think,4,34
郵便 [はさみ],tar,think,4,34
郵便 [ポスト],sub,think,1,34
神社 [神社],cue,think,4,34
神社 [しゃもじ],tar,think,4,34
神社 [おみくじ],sub,think,1,34
缶詰 [缶詰],cue,think,4,34
缶詰 [バナナ],tar,think,4,34
缶詰 [リサイクル],sub,think,1,34
銭湯 [銭湯],cue,think,4,34
銭湯 [バケツ],tar,think,4,34
銭湯 [サウナ],sub,think,1,34
競走 [競走],cue,think,4,34
競走 [うさぎ],tar,think,4,34
競走 [ゼッケン],sub,think,1,34
真夏 [真夏],cue,think,1,34
真夏 [うどん],tar,think,4,34
真夏 [プール],sub,think,1,34
野宿 [野宿],cue,think,4,34
野宿 [カラス],tar,think,3,34
野宿 [テント],sub,think,1,34
