participant,ID,substitute,sub_corr,sub_rt
21,1,ランチ,1,0.946
21,2,おしゃぶり,1,0.879
21,3,モチつき,1,1.247
21,4,レール,1,1.153
21,5,デッサン,1,1.845
21,6,あられ,1,1.44
21,7,シーソー,1,1.011
21,8,マント,1,1.34
21,9,カード,1,0.97
21,10,うちわ,1,2.322
21,11,フィルム,1,1.45
21,12,ふすま,1,1.935
