item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,nothink,1,1,1,0.547719955444,cong,1,1.075,1.531,7
2,ピアノ,nothink,1,1,1,0.414199829102,cong,1,0.879,2.298,7
3,ニュース,nothink,1,1,1,0.464457035065,incong,1,1.139,1.348,7
4,カップル,nothink,1,1,1,0.864290952682,incong,1,0.952,1.352,7
5,ローマ,nothink,1,1,1,0.430927038193,cong,1,1.442,1.821,7
6,トラック,nothink,1,1,1,0.380498170853,cong,1,0.799,1.479,7
7,マナー,nothink,1,1,1,0.3810338974,incong,1,3,1.491,7
8,カジノ,nothink,1,1,1,0.4974629879,incong,1,0.991,1.243,7
9,ワニ,nothink,1,1,1,0.56357884407,cong,1,0.755,1.652,7
10,おんぶ,nothink,1,1,1,0.414619922638,cong,1,1.384,1.108,7
11,ムード,nothink,1,0,1,0.447741985321,incong,1,1.134,0.91,7
12,ろうそく,nothink,1,1,1,0.430750131607,incong,1,0.826,2.779,7
13,モデル,think,1,1,NA,0.431323051453,cong,1,1.081,0.982,7
14,まぐろ,think,1,1,NA,0.430801868439,cong,1,1.087,2.198,7
15,スーツ,think,1,1,NA,0.3955950737,incong,1,0.746,1.767,7
16,とんぼ,think,1,1,NA,0.630896091461,incong,1,1.028,1.309,7
17,カレー,think,1,1,NA,0.447673082352,cong,1,0.78,1.045,7
18,ダイヤ,think,1,1,NA,0.430863857269,cong,1,2.092,2.5,7
19,ラジオ,think,1,1,NA,0.414608955383,incong,1,1.405,1.523,7
20,ベランダ,think,1,1,NA,0.480981111526,incong,1,0.945,1.557,7
21,ジャズ,think,1,0,NA,0.414040803909,cong,1,2.057,NA,7
22,ビール,think,1,1,NA,0.447767972946,cong,1,0.797,1.292,7
23,コンパス,think,1,1,NA,0.397803068161,incong,1,1.293,1.12,7
24,ゴルフ,think,1,1,NA,0.464290142059,incong,1,1.211,1.566,7
25,ほくろ,baseline,1,1,NA,0.514103889465,cong,1,0.953,0.959,7
26,テーブル,baseline,1,1,NA,0.430606126785,cong,1,1.372,1.224,7
27,メートル,baseline,1,1,NA,0.430613994598,incong,1,0.769,0.801,7
28,レンジ,baseline,1,1,NA,0.497563123703,incong,1,0.917,1.074,7
29,あじさい,baseline,1,1,NA,0.510981082916,cong,1,0.811,1.709,7
30,はさみ,baseline,1,1,NA,0.414264917374,cong,1,0.956,1.104,7
31,しゃもじ,baseline,1,1,NA,0.514329195023,incong,1,1.307,1.845,7
32,バナナ,baseline,1,1,NA,0.430929899216,incong,1,0.705,0.767,7
33,バケツ,baseline,1,1,NA,0.548108100891,cong,1,1.135,1.621,7
34,うさぎ,baseline,1,1,NA,0.330852031708,cong,1,0.956,1.084,7
35,うどん,baseline,1,1,NA,0.430876016617,incong,1,0.747,0.851,7
36,カラス,baseline,1,1,NA,0.397832155228,incong,1,0.901,1.109,7
