item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,nothink,1,1,1,0.414087057114,incong,1,0.778,1.893,21
2,ピアノ,nothink,1,1,1,0.430850028992,incong,1,0.774,2.029,21
3,ニュース,nothink,1,1,1,0.514387845993,cong,1,0.626,0.801,21
4,カップル,nothink,1,1,1,0.427060127258,cong,1,0.894,1.584,21
5,ローマ,nothink,1,1,1,0.397421121597,incong,0,0.987,1.983,21
6,トラック,nothink,1,1,1,0.480916023254,incong,1,0.794,1.011,21
7,マナー,nothink,1,1,1,0.514094114304,cong,1,0.856,1.44,21
8,カジノ,nothink,1,1,1,0.464549064636,cong,1,1.03,1.41,21
9,ワニ,nothink,1,1,1,0.430809020996,incong,1,0.688,1.294,21
10,おんぶ,nothink,1,1,1,0.530656099319,incong,1,0.821,1.371,21
11,ムード,nothink,1,1,1,0.497583150864,cong,1,0.952,1.732,21
12,ろうそく,nothink,1,1,1,0.480361938477,cong,1,0.904,0.926,21
13,モデル,baseline,1,1,NA,0.463989973068,incong,1,1.255,1.253,21
14,まぐろ,baseline,1,1,NA,0.480862855911,incong,1,1.278,0.927,21
15,スーツ,baseline,1,1,NA,0.430971860886,cong,1,0.64,0.758,21
16,とんぼ,baseline,1,1,NA,0.597440004349,cong,1,0.879,0.747,21
17,カレー,baseline,1,1,NA,0.53083896637,incong,1,1.406,1.471,21
18,ダイヤ,baseline,1,1,NA,0.580924987793,incong,1,1.12,0.995,21
19,ラジオ,baseline,1,1,NA,0.430793046951,cong,1,1.165,1.266,21
20,ベランダ,baseline,1,1,NA,0.48096203804,cong,1,0.991,1.364,21
21,ジャズ,baseline,1,1,NA,0.580678939819,incong,1,0.971,0.878,21
22,ビール,baseline,1,1,NA,0.480840921402,incong,1,0.931,0.75,21
23,コンパス,baseline,1,1,NA,0.864204883575,cong,1,0.966,1.157,21
24,ゴルフ,baseline,1,1,NA,0.414146900177,cong,1,0.844,1.41,21
25,ほくろ,think,1,1,NA,0.430838108063,incong,1,0.805,0.655,21
26,テーブル,think,1,1,NA,0.480736017227,incong,1,0.749,1.175,21
27,メートル,think,1,1,NA,0.497678041458,cong,1,0.649,0.785,21
28,レンジ,think,1,1,NA,0.530657052994,cong,1,1.398,0.803,21
29,あじさい,think,1,1,NA,0.514363050461,incong,1,0.648,0.896,21
30,はさみ,think,1,1,NA,0.44732093811,incong,1,0.728,0.703,21
31,しゃもじ,think,1,1,NA,0.431251049042,cong,1,0.764,0.829,21
32,バナナ,think,1,1,NA,0.563825130463,cong,1,1.074,0.729,21
33,バケツ,think,1,1,NA,0.497415065765,incong,1,0.784,0.778,21
34,うさぎ,think,1,1,NA,0.497193098068,incong,1,0.795,0.708,21
35,うどん,think,1,1,NA,0.497645139694,cong,1,1.453,0.757,21
36,カラス,think,1,1,NA,0.46398806572,cong,1,1.706,0.768,21
