participant,ID,substitute,sub_corr,sub_rt
5,25,バリカン,1,1.389
5,26,トリック,1,0.714
5,27,マグマ,1,1.023
5,28,にんにく,1,1.682
5,29,チャイム,1,1.132
5,30,ポスト,1,0.864
5,31,おみくじ,0,NA
5,32,リサイクル,1,1.161
5,33,サウナ,0,NA
5,34,ゼッケン,1,1.592
5,35,プール,1,1.172
5,36,テント,1,0.893
