word,condition,surppress,rate,participant
香水 [香水],cue,nothink,4,24
香水 [モデル],tar,nothink,2,24
香水 [スプレー],sub,nothink,5,24
屋台 [屋台],cue,nothink,4,24
屋台 [まぐろ],tar,nothink,1,24
屋台 [おしぼり],sub,nothink,5,24
漫才 [漫才],cue,nothink,5,24
漫才 [スーツ],tar,nothink,3,24
漫才 [ギャグ],sub,nothink,5,24
網戸 [網戸],cue,nothink,4,24
網戸 [とんぼ],tar,nothink,3,24
網戸 [カーテン],sub,nothink,5,24
雪国 [雪国],cue,nothink,5,24
雪国 [カレー],tar,nothink,2,24
雪国 [ストーブ],sub,nothink,5,24
彫刻 [彫刻],cue,nothink,4,24
彫刻 [ダイヤ],tar,nothink,3,24
彫刻 [ナイフ],sub,nothink,5,24
登山 [登山],cue,nothink,4,24
登山 [ラジオ],tar,nothink,1,24
登山 [アルプス],sub,nothink,5,24
満月 [満月],cue,nothink,4,24
満月 [ベランダ],tar,nothink,1,24
満月 [クレーター],sub,nothink,5,24
都会 [都会],cue,nothink,5,24
都会 [ジャズ],tar,nothink,1,24
都会 [ビル],sub,nothink,5,24
旅行 [旅行],cue,nothink,5,24
旅行 [ビール],tar,nothink,2,24
旅行 [ホテル],sub,nothink,4,24
洞窟 [洞窟],cue,nothink,4,24
洞窟 [コンパス],tar,nothink,4,24
洞窟 [こうもり],sub,nothink,4,24
砂漠 [砂漠],cue,think,4,24
砂漠 [ゴルフ],tar,think,2,24
砂漠 [オアシス],sub,think,5,24
坊主 [坊主],cue,think,4,24
坊主 [ほくろ],tar,think,5,24
坊主 [バリカン],sub,think,1,24
手品 [手品],cue,think,4,24
手品 [テーブル],tar,think,5,24
手品 [トリック],sub,think,1,24
地球 [地球],cue,think,4,24
地球 [メートル],tar,think,5,24
地球 [マグマ],sub,think,1,24
餃子 [餃子],cue,think,5,24
餃子 [レンジ],tar,think,5,24
餃子 [にんにく],sub,think,1,24
学校 [学校],cue,think,4,24
学校 [あじさい],tar,think,5,24
学校 [チャイム],sub,think,1,24
郵便 [郵便],cue,think,3,24
郵便 [はさみ],tar,think,5,24
郵便 [ポスト],sub,think,1,24
神社 [神社],cue,think,4,24
神社 [しゃもじ],tar,think,5,24
神社 [おみくじ],sub,think,1,24
缶詰 [缶詰],cue,think,4,24
缶詰 [バナナ],tar,think,5,24
缶詰 [リサイクル],sub,think,1,24
銭湯 [銭湯],cue,think,4,24
銭湯 [バケツ],tar,think,5,24
銭湯 [サウナ],sub,think,1,24
競走 [競走],cue,think,4,24
競走 [うさぎ],tar,think,5,24
競走 [ゼッケン],sub,think,1,24
真夏 [真夏],cue,think,4,24
真夏 [うどん],tar,think,5,24
真夏 [プール],sub,think,1,24
野宿 [野宿],cue,think,4,24
野宿 [カラス],tar,think,4,24
野宿 [テント],sub,think,1,24
