item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,think,1,1,NA,0.530780076981,cong,0,0.848,1.134,28
2,ピアノ,think,1,1,NA,1.06195902824,cong,0,1.008,0.721,28
3,ニュース,think,1,1,NA,0.997334957123,incong,0,0.712,0.759,28
4,カップル,think,1,1,NA,0.630446910858,incong,0,0.807,1.06,28
5,ローマ,think,1,1,NA,0.497619152069,cong,0,0.896,0.714,28
6,トラック,think,1,1,NA,1.01417517662,cong,0,1.312,0.84,28
7,マナー,think,1,1,NA,0.480921030045,incong,0,1.102,0.821,28
8,カジノ,think,1,1,NA,0.480916976929,incong,0,0.77,0.738,28
9,ワニ,think,1,1,NA,0.545513868332,cong,0,0.742,1.584,28
10,おんぶ,think,1,1,NA,0.513945102692,cong,0,0.881,1.184,28
11,ムード,think,1,0,NA,0.480901956558,incong,0,0.644,NA,28
12,ろうそく,think,1,1,NA,0.663945913315,incong,0,0.905,0.836,28
13,モデル,baseline,1,1,NA,0.580954790115,cong,1,0.846,0.947,28
14,まぐろ,baseline,1,1,NA,0.514219999313,cong,0,0.93,1.17,28
15,スーツ,baseline,1,1,NA,0.447296857834,incong,0,0.704,0.735,28
16,とんぼ,baseline,1,1,NA,0.447459220886,incong,0,0.748,0.846,28
17,カレー,baseline,1,1,NA,0.597455978394,cong,0,0.747,0.763,28
18,ダイヤ,baseline,1,1,NA,0.62872505188,cong,0,0.804,0.82,28
19,ラジオ,baseline,1,1,NA,0.547420978546,incong,0,1.249,0.933,28
20,ベランダ,baseline,1,1,NA,0.497142076492,incong,0,0.815,0.877,28
21,ジャズ,baseline,1,1,NA,0.581017971039,cong,0,1.286,1.073,28
22,ビール,baseline,1,1,NA,0.497127771378,cong,0,1.528,1.505,28
23,コンパス,baseline,1,1,NA,0.730720996857,incong,0,0.811,1.102,28
24,ゴルフ,baseline,1,1,NA,0.547419071198,incong,0,1.305,1.191,28
25,ほくろ,nothink,1,1,1,0.480708837509,cong,0,0.837,1.345,28
26,テーブル,nothink,1,0,1,0.764101028442,cong,0,0.822,NA,28
27,メートル,nothink,1,1,1,0.946969985962,incong,0,0.692,0.825,28
28,レンジ,nothink,1,1,1,0.447403907776,incong,0,1.256,1.355,28
29,あじさい,nothink,1,1,1,0.464484930038,cong,0,1.668,1.781,28
30,はさみ,nothink,1,1,1,0.464146137238,cong,0,0.774,2.375,28
31,しゃもじ,nothink,1,1,1,0.664011001587,incong,0,1.445,1.745,28
32,バナナ,nothink,1,1,1,0.547417163849,incong,0,0.755,1.523,28
33,バケツ,nothink,1,1,1,0.680751085281,cong,0,0.712,1.927,28
34,うさぎ,nothink,1,1,1,0.464100837708,cong,0,0.799,1.665,28
35,うどん,nothink,1,1,1,0.514154911041,incong,0,0.959,1.746,28
36,カラス,nothink,1,0,1,0.41416311264,incong,0,0.723,NA,28
