item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,nothink,1,1,0,0.560638904572,incong,0,1.078,1.17,43
2,ピアノ,nothink,1,0,1,0.480750083923,incong,0,1.538,NA,43
3,ニュース,nothink,1,1,1,0.530657052994,cong,0,0.949,2,43
4,カップル,nothink,1,1,1,0.664160013199,cong,0,1.021,2.52,43
5,ローマ,nothink,1,1,1,0.514319896698,incong,0,1.46,1.43,43
6,トラック,nothink,1,1,1,0.514097929001,incong,0,1.297,1.85,43
7,マナー,nothink,1,1,1,0.613544940948,cong,0,1.061,1.843,43
8,カジノ,nothink,1,1,1,0.430813074112,cong,0,1.078,3,43
9,ワニ,nothink,1,1,1,0.497262954712,incong,0,1.008,2,43
10,おんぶ,nothink,1,1,1,0.764225959778,incong,0,1.377,2.015,43
11,ムード,nothink,1,1,1,0.564033031464,cong,0,0.843,2.041,43
12,ろうそく,nothink,1,1,1,0.613846063614,cong,0,1.272,1.713,43
13,モデル,think,1,1,NA,0.564002037048,incong,0,1.379,1.621,43
14,まぐろ,think,1,1,NA,0.964257955551,incong,0,1.493,2.036,43
15,スーツ,think,1,1,NA,0.580227851868,cong,0,1.235,1.68,43
16,とんぼ,think,1,1,NA,0.597496032715,cong,0,1.289,1.076,43
17,カレー,think,1,1,NA,0.614063024521,incong,0,1.027,0.889,43
18,ダイヤ,think,1,1,NA,0.647350072861,incong,0,1.796,1.678,43
19,ラジオ,think,1,1,NA,0.514070987701,cong,0,1.589,1.751,43
20,ベランダ,think,1,1,NA,0.547302961349,cong,0,1.364,1.682,43
21,ジャズ,think,1,1,NA,0.580788850784,incong,0,1.242,1.225,43
22,ビール,think,1,0,NA,0.447335958481,incong,0,1.667,NA,43
23,コンパス,think,1,1,NA,0.54762005806,cong,0,1.469,1.532,43
24,ゴルフ,think,1,1,NA,0.464039087296,cong,0,1.019,1.415,43
25,ほくろ,baseline,1,1,NA,0.497190952301,incong,0,1.243,1.26,43
26,テーブル,baseline,1,1,NA,0.714034080505,incong,0,1.501,1.164,43
27,メートル,baseline,1,1,NA,0.563851833344,cong,0,1.442,1.379,43
28,レンジ,baseline,1,1,NA,0.678756952286,cong,0,1.489,1.537,43
29,あじさい,baseline,1,1,NA,0.580895185471,incong,0,1.513,1.553,43
30,はさみ,baseline,1,1,NA,0.447724103928,incong,0,1.549,1.594,43
31,しゃもじ,baseline,1,1,NA,0.630645036697,cong,0,1.306,1.591,43
32,バナナ,baseline,1,1,NA,0.530851125717,cong,0,2.572,1.49,43
33,バケツ,baseline,1,1,NA,0.731391906738,incong,0,0.976,1.453,43
34,うさぎ,baseline,1,1,NA,0.51424407959,incong,0,1.429,1.322,43
35,うどん,baseline,1,1,NA,1.09726214409,cong,0,1.274,1.27,43
36,カラス,baseline,1,1,NA,0.547430038452,cong,0,1.591,1.406,43
