item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,baseline,1,1,NA,0.497452974319,incong,0,1.56,1.455,47
2,ピアノ,baseline,1,1,NA,0.447582960129,incong,0,1.694,2.168,47
3,ニュース,baseline,1,1,NA,0.34757995605499997,cong,0,0.776,0.927,47
4,カップル,baseline,1,1,NA,0.430342912674,cong,0,1.746,1.262,47
5,ローマ,baseline,1,1,NA,0.59761595726,incong,0,1.329,1.125,47
6,トラック,baseline,1,1,NA,0.397349119186,incong,0,2.904,2.471,47
7,マナー,baseline,1,0,NA,0.480684995651,cong,0,1.318,NA,47
8,カジノ,baseline,1,1,NA,0.497430086136,cong,0,0.918,0.995,47
9,ワニ,baseline,1,1,NA,0.447844028473,incong,0,0.773,1.044,47
10,おんぶ,baseline,1,1,NA,0.597698926926,incong,0,1.185,0.932,47
11,ムード,baseline,1,1,NA,0.347640037537,cong,0,2.077,2.382,47
12,ろうそく,baseline,1,1,NA,0.430540084839,cong,0,0.994,1.349,47
13,モデル,nothink,1,1,1,0.514716863632,incong,0,0.742,1.852,47
14,まぐろ,nothink,1,1,1,0.397432804108,incong,0,1.222,2.722,47
15,スーツ,nothink,1,1,1,0.460736036301,cong,0,1.133,1.517,47
16,とんぼ,nothink,1,1,1,0.497242927551,cong,0,0.848,1.947,47
17,カレー,nothink,1,1,1,0.430727958679,incong,0,0.645,1.43,47
18,ダイヤ,nothink,1,1,1,0.43076300621,incong,0,2.075,2.961,47
19,ラジオ,nothink,1,0,1,0.397553920746,cong,0,NA,NA,47
20,ベランダ,nothink,1,1,1,0.447618961334,cong,0,0.909,2.471,47
21,ジャズ,nothink,1,1,1,0.380629062653,incong,0,2.578,1.644,47
22,ビール,nothink,1,1,1,0.4641020298,incong,0,1.639,1.526,47
23,コンパス,nothink,1,0,1,0.414083957672,cong,0,1.08,NA,47
24,ゴルフ,nothink,1,1,1,0.464107990265,cong,0,0.9,1.324,47
25,ほくろ,think,1,1,NA,0.597547054291,incong,0,0.706,0.711,47
26,テーブル,think,1,1,NA,0.360647916794,incong,0,0.889,0.816,47
27,メートル,think,1,1,NA,0.447381019592,cong,0,0.851,0.953,47
28,レンジ,think,1,1,NA,0.480670213699,cong,0,0.952,0.964,47
29,あじさい,think,1,1,NA,0.545459985733,incong,0,2.521,1.701,47
30,はさみ,think,1,1,NA,0.430572986603,incong,0,1.137,1.048,47
31,しゃもじ,think,1,1,NA,0.464413881302,cong,0,0.932,0.932,47
32,バナナ,think,1,1,NA,0.497489929199,cong,0,0.778,0.771,47
33,バケツ,think,1,1,NA,0.414178848267,incong,0,2.542,2.474,47
34,うさぎ,think,1,1,NA,0.363796949387,incong,0,0.804,0.966,47
35,うどん,think,1,1,NA,0.413984060287,cong,0,1.236,2.507,47
36,カラス,think,1,1,NA,0.39705491066,cong,0,1.911,0.844,47
