word,condition,surppress,rate,participant
弁当 [弁当],cue,think,3,25
弁当 [みりん],tar,think,5,25
弁当 [ランチ],sub,think,1,25
幼児 [幼児],cue,think,1,25
幼児 [ピアノ],tar,think,5,25
幼児 [おしゃぶり],sub,think,1,25
新年 [新年],cue,think,5,25
新年 [ニュース],tar,think,5,25
新年 [モチつき],sub,think,1,25
電車 [電車],cue,think,3,25
電車 [カップル],tar,think,4,25
電車 [レール],sub,think,1,25
油絵 [油絵],cue,think,1,25
油絵 [ローマ],tar,think,5,25
油絵 [デッサン],sub,think,1,25
雨雲 [雨雲],cue,think,1,25
雨雲 [トラック],tar,think,5,25
雨雲 [あられ],sub,think,1,25
公園 [公園],cue,think,1,25
公園 [マナー],tar,think,5,25
公園 [シーソー],sub,think,1,25
王様 [王様],cue,think,1,25
王様 [カジノ],tar,think,5,25
王様 [マント],sub,think,5,25
浴衣 [浴衣],cue,think,1,25
浴衣 [おんぶ],tar,think,5,25
浴衣 [うちわ],sub,think,1,25
映画 [映画],cue,think,2,25
映画 [ムード],tar,think,5,25
映画 [フィルム],sub,think,1,25
和室 [和室],cue,think,3,25
和室 [ろうそく],tar,think,5,25
和室 [ふすま],sub,think,1,25
財布 [財布],cue,think,1,25
財布 [ワニ],tar,think,5,25
財布 [カード],sub,think,1,25
香水 [香水],cue,nothink,1,25
香水 [モデル],tar,nothink,3,25
香水 [スプレー],sub,nothink,3,25
屋台 [屋台],cue,nothink,3,25
屋台 [まぐろ],tar,nothink,3,25
屋台 [おしぼり],sub,nothink,3,25
漫才 [漫才],cue,nothink,5,25
漫才 [スーツ],tar,nothink,5,25
漫才 [ギャグ],sub,nothink,3,25
網戸 [網戸],cue,nothink,2,25
網戸 [とんぼ],tar,nothink,4,25
網戸 [カーテン],sub,nothink,2,25
雪国 [雪国],cue,nothink,5,25
雪国 [カレー],tar,nothink,4,25
雪国 [ストーブ],sub,nothink,4,25
彫刻 [彫刻],cue,nothink,5,25
彫刻 [ダイヤ],tar,nothink,3,25
彫刻 [ナイフ],sub,nothink,3,25
登山 [登山],cue,nothink,4,25
登山 [ラジオ],tar,nothink,2,25
登山 [アルプス],sub,nothink,2,25
満月 [満月],cue,nothink,4,25
満月 [ベランダ],tar,nothink,3,25
満月 [クレーター],sub,nothink,2,25
都会 [都会],cue,nothink,3,25
都会 [ジャズ],tar,nothink,4,25
都会 [ビル],sub,nothink,4,25
旅行 [旅行],cue,nothink,5,25
旅行 [ビール],tar,nothink,2,25
旅行 [ホテル],sub,nothink,2,25
洞窟 [洞窟],cue,nothink,4,25
洞窟 [コンパス],tar,nothink,3,25
洞窟 [こうもり],sub,nothink,2,25
砂漠 [砂漠],cue,nothink,5,25
砂漠 [ゴルフ],tar,nothink,3,25
砂漠 [オアシス],sub,nothink,3,25
