participant,ID,substitute,sub_corr,sub_rt
42,25,バリカン,1,1.421
42,26,トリック,1,1.121
42,27,マグマ,1,0.765
42,28,にんにく,1,1.417
42,29,チャイム,1,1.381
42,30,ポスト,1,0.714
42,31,おみくじ,1,0.696
42,32,リサイクル,1,1.07
42,33,サウナ,1,1.251
42,34,ゼッケン,1,0.821
42,35,プール,1,0.929
42,36,テント,1,1.054
