item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,nothink,1,1,1,0.514364004135,cong,1,0.717,1.046,9
2,ピアノ,nothink,1,1,1,0.697033166885,cong,1,0.735,0.84,9
3,ニュース,nothink,1,1,1,0.730926990509,incong,1,0.878,0.879,9
4,カップル,nothink,1,1,1,0.61391210556,incong,1,0.832,1.716,9
5,ローマ,nothink,1,1,1,0.597300052643,cong,1,0.694,0.883,9
6,トラック,nothink,1,1,0,0.563900947571,cong,1,1.014,0.885,9
7,マナー,nothink,1,1,1,0.530992031097,incong,1,0.765,0.78,9
8,カジノ,nothink,1,1,1,0.547230005264,incong,1,0.688,2.607,9
9,ワニ,nothink,1,1,1,0.514086008072,cong,1,0.719,0.81,9
10,おんぶ,nothink,1,1,1,0.547404050827,cong,1,0.824,1.124,9
11,ムード,nothink,1,1,1,0.564102172852,incong,1,0.78,1.203,9
12,ろうそく,nothink,1,1,1,0.481106996536,incong,1,1.209,1.675,9
13,モデル,baseline,1,1,NA,0.680814981461,cong,1,0.752,0.736,9
14,まぐろ,baseline,1,1,NA,0.514417886734,cong,1,0.777,0.983,9
15,スーツ,baseline,1,1,NA,0.547566890717,incong,1,0.684,0.781,9
16,とんぼ,baseline,1,1,NA,0.497473955154,incong,1,0.78,0.694,9
17,カレー,baseline,1,1,NA,0.514495134354,cong,1,0.672,0.852,9
18,ダイヤ,baseline,1,1,NA,0.813844919205,cong,1,0.817,0.822,9
19,ラジオ,baseline,1,1,NA,0.597434997559,incong,1,0.792,0.816,9
20,ベランダ,baseline,1,1,NA,0.463913917542,incong,1,0.736,0.808,9
21,ジャズ,baseline,1,1,NA,0.681111812592,cong,1,0.793,0.82,9
22,ビール,baseline,1,1,NA,0.464206933975,cong,1,0.748,1.241,9
23,コンパス,baseline,1,1,NA,0.530813932419,incong,1,0.852,1.079,9
24,ゴルフ,baseline,1,1,NA,0.53084397316,incong,1,0.784,1.191,9
25,ほくろ,think,1,1,NA,0.613647937775,cong,1,0.909,0.939,9
26,テーブル,think,1,1,NA,0.563834905624,cong,1,0.968,0.73,9
27,メートル,think,1,1,NA,0.63065290451,incong,1,0.952,0.86,9
28,レンジ,think,1,1,NA,0.480391979218,incong,1,0.795,0.876,9
29,あじさい,think,1,1,NA,0.514166116714,cong,1,0.885,1.056,9
30,はさみ,think,1,1,NA,0.595561981201,cong,1,0.719,0.779,9
31,しゃもじ,think,1,1,NA,0.56395816803,incong,0,0.737,0.734,9
32,バナナ,think,1,1,NA,0.53061580658,incong,1,0.739,0.685,9
33,バケツ,think,1,1,NA,0.497296094894,cong,1,0.755,1.138,9
34,うさぎ,think,1,1,NA,0.514088153839,cong,1,0.712,0.758,9
35,うどん,think,1,1,NA,0.664342164993,incong,1,0.839,0.793,9
36,カラス,think,1,1,NA,0.947488069534,incong,0,0.71,0.756,9
