word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,3,32
弁当 [みりん],tar,nothink,3,32
弁当 [ランチ],sub,nothink,4,32
幼児 [幼児],cue,nothink,3,32
幼児 [ピアノ],tar,nothink,4,32
幼児 [おしゃぶり],sub,nothink,4,32
新年 [新年],cue,nothink,2,32
新年 [ニュース],tar,nothink,2,32
新年 [モチつき],sub,nothink,4,32
電車 [電車],cue,nothink,2,32
電車 [カップル],tar,nothink,3,32
電車 [レール],sub,nothink,4,32
油絵 [油絵],cue,nothink,2,32
油絵 [ローマ],tar,nothink,2,32
油絵 [デッサン],sub,nothink,4,32
雨雲 [雨雲],cue,nothink,2,32
雨雲 [トラック],tar,nothink,3,32
雨雲 [あられ],sub,nothink,4,32
公園 [公園],cue,nothink,2,32
公園 [マナー],tar,nothink,1,32
公園 [シーソー],sub,nothink,4,32
王様 [王様],cue,nothink,4,32
王様 [カジノ],tar,nothink,3,32
王様 [マント],sub,nothink,4,32
浴衣 [浴衣],cue,nothink,4,32
浴衣 [おんぶ],tar,nothink,2,32
浴衣 [うちわ],sub,nothink,4,32
映画 [映画],cue,nothink,2,32
映画 [ムード],tar,nothink,3,32
映画 [フィルム],sub,nothink,4,32
和室 [和室],cue,nothink,1,32
和室 [ろうそく],tar,nothink,2,32
和室 [ふすま],sub,nothink,4,32
財布 [財布],cue,think,3,32
財布 [ワニ],tar,think,4,32
財布 [カード],sub,think,4,32
香水 [香水],cue,think,3,32
香水 [モデル],tar,think,4,32
香水 [スプレー],sub,think,2,32
屋台 [屋台],cue,think,4,32
屋台 [まぐろ],tar,think,3,32
屋台 [おしぼり],sub,think,1,32
漫才 [漫才],cue,think,4,32
漫才 [スーツ],tar,think,4,32
漫才 [ギャグ],sub,think,1,32
網戸 [網戸],cue,think,4,32
網戸 [とんぼ],tar,think,4,32
網戸 [カーテン],sub,think,1,32
雪国 [雪国],cue,think,3,32
雪国 [カレー],tar,think,5,32
雪国 [ストーブ],sub,think,1,32
彫刻 [彫刻],cue,think,2,32
彫刻 [ダイヤ],tar,think,5,32
彫刻 [ナイフ],sub,think,3,32
登山 [登山],cue,think,1,32
登山 [ラジオ],tar,think,4,32
登山 [アルプス],sub,think,1,32
満月 [満月],cue,think,4,32
満月 [ベランダ],tar,think,4,32
満月 [クレーター],sub,think,1,32
都会 [都会],cue,think,2,32
都会 [ジャズ],tar,think,4,32
都会 [ビル],sub,think,2,32
旅行 [旅行],cue,think,3,32
旅行 [ビール],tar,think,4,32
旅行 [ホテル],sub,think,1,32
洞窟 [洞窟],cue,think,2,32
洞窟 [コンパス],tar,think,4,32
洞窟 [こうもり],sub,think,1,32
砂漠 [砂漠],cue,think,3,32
砂漠 [ゴルフ],tar,think,4,32
砂漠 [オアシス],sub,think,1,32
