item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,nothink,1,1,1,0.497123003006,cong,1,0.751,1.137,10
2,ピアノ,nothink,1,1,1,0.564204216003,cong,1,1.977,1.678,10
3,ニュース,nothink,1,1,1,0.51374578476,incong,1,0.802,1.785,10
4,カップル,nothink,1,1,1,0.730945110321,incong,0,0.957,1.025,10
5,ローマ,nothink,1,1,1,0.545488119125,cong,1,1.041,1.192,10
6,トラック,nothink,1,1,1,0.514116048813,cong,1,0.971,1.722,10
7,マナー,nothink,1,1,0,0.613725185394,incong,1,2.183,1.754,10
8,カジノ,nothink,1,1,1,0.597456932068,incong,1,0.687,1.679,10
9,ワニ,nothink,1,1,1,0.563894987106,cong,1,0.774,1.614,10
10,おんぶ,nothink,1,1,1,0.464266061783,cong,1,0.857,1.776,10
11,ムード,nothink,1,1,1,0.530587911606,incong,1,0.882,1.448,10
12,ろうそく,nothink,1,1,1,0.68078994751,incong,1,0.838,0.929,10
13,モデル,baseline,1,1,NA,0.545444965363,cong,1,0.791,0.905,10
14,まぐろ,baseline,1,1,NA,0.564108848572,cong,1,0.856,0.843,10
15,スーツ,baseline,1,1,NA,0.51433801651,incong,1,0.771,0.803,10
16,とんぼ,baseline,1,1,NA,0.464121103287,incong,1,0.747,0.81,10
17,カレー,baseline,1,1,NA,0.547260046005,cong,1,0.82,0.854,10
18,ダイヤ,baseline,1,1,NA,0.51414513588,cong,1,1.341,1.306,10
19,ラジオ,baseline,1,1,NA,0.46369600296,incong,1,1.321,1.540,10
20,ベランダ,baseline,1,1,NA,0.497579813004,incong,1,1.333,0.94,10
21,ジャズ,baseline,1,1,NA,0.730537891388,cong,1,0.817,0.847,10
22,ビール,baseline,1,1,NA,0.480585098267,cong,1,0.944,1.306,10
23,コンパス,baseline,1,0,NA,0.630972862244,incong,1,0.973,NA,10
24,ゴルフ,baseline,1,1,NA,0.429466962814,incong,1,0.829,1.442,10
25,ほくろ,think,1,1,NA,0.542156934738,cong,1,0.908,1.093,10
26,テーブル,think,1,1,NA,0.49745798111,cong,1,0.725,0.85,10
27,メートル,think,1,1,NA,0.430501937866,incong,1,0.74,0.8,10
28,レンジ,think,1,1,NA,0.547314882278,incong,1,0.877,1.643,10
29,あじさい,think,1,1,NA,0.480850219727,cong,1,0.872,0.98,10
30,はさみ,think,1,1,NA,0.54728603363,cong,1,0.734,0.755,10
31,しゃもじ,think,1,1,NA,0.480880975723,incong,1,3,1.143,10
32,バナナ,think,1,1,NA,0.597534894943,incong,1,0.836,0.972,10
33,バケツ,think,1,1,NA,0.514313936234,cong,1,1.119,1.137,10
34,うさぎ,think,1,1,NA,0.530664920807,cong,1,0.875,0.841,10
35,うどん,think,1,1,NA,0.447442054749,incong,1,0.83,0.82,10
36,カラス,think,1,1,NA,0.512106180191,incong,1,0.892,0.972,10
