participant,ID,substitute,sub_corr,sub_rt
23,13,スプレー,1,1.279
23,14,おしぼり,1,1.218
23,15,ギャグ,1,1.152
23,16,カーテン,1,1.388
23,17,ストーブ,1,1.435
23,18,ナイフ,1,1.402
23,19,アルプス,0,NA
23,20,クレーター,1,1.231
23,21,ビル,1,1.13
23,22,ホテル,1,1.903
23,23,こうもり,1,1.723
23,24,オアシス,1,1
