item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,baseline,1,1,NA,0.430355072021,incong,1,1.112,0.891,24
2,ピアノ,baseline,1,1,NA,0.481081008911,incong,1,0.879,0.951,24
3,ニュース,baseline,1,1,NA,0.531012058258,cong,1,0.721,0.689,24
4,カップル,baseline,1,1,NA,0.36416387558,cong,1,0.931,1.084,24
5,ローマ,baseline,1,1,NA,0.380558013916,incong,1,1.027,0.749,24
6,トラック,baseline,1,1,NA,0.414011955261,incong,1,0.834,0.879,24
7,マナー,baseline,1,1,NA,0.480767965317,cong,1,0.773,0.964,24
8,カジノ,baseline,1,1,NA,0.41438293457000003,cong,1,1.928,1.104,24
9,ワニ,baseline,1,1,NA,0.414129018784,incong,1,0.825,0.817,24
10,おんぶ,baseline,1,1,NA,0.430891036987,incong,1,0.854,0.76,24
11,ムード,baseline,1,1,NA,0.364330053329,cong,1,1.786,1.717,24
12,ろうそく,baseline,1,1,NA,0.380975961685,cong,1,0.728,0.781,24
13,モデル,nothink,1,1,1,0.397656917572,incong,1,0.769,2.147,24
14,まぐろ,nothink,1,1,1,0.480576038361,incong,1,1.55,1.347,24
15,スーツ,nothink,1,1,1,0.447700023651,cong,1,0.66,1.209,24
16,とんぼ,nothink,1,1,1,0.39758014679,cong,1,0.76,1.428,24
17,カレー,nothink,1,1,1,0.480677127838,incong,1,1.291,0.882,24
18,ダイヤ,nothink,1,1,1,0.447308063507,incong,1,0.953,2.079,24
19,ラジオ,nothink,1,1,1,0.497409105301,cong,1,1.773,1.91,24
20,ベランダ,nothink,1,1,1,0.414144992828,cong,1,1.099,1.465,24
21,ジャズ,nothink,1,1,1,0.380414009094,incong,1,3,2.034,24
22,ビール,nothink,1,1,1,0.48083615303,incong,1,1.019,2.451,24
23,コンパス,nothink,1,1,1,0.414381980896,cong,1,1.815,1.962,24
24,ゴルフ,nothink,1,1,1,0.480766057968,cong,1,1.343,2.018,24
25,ほくろ,think,1,1,NA,0.397239923477,incong,1,0.89,0.999,24
26,テーブル,think,1,1,NA,0.414404153824,incong,1,0.66,1.617,24
27,メートル,think,1,1,NA,0.364184856415,cong,1,0.824,0.737,24
28,レンジ,think,1,1,NA,0.411958217621,cong,1,0.892,1.023,24
29,あじさい,think,1,1,NA,0.414125919342,incong,1,0.674,0.724,24
30,はさみ,think,1,1,NA,0.480803966522,incong,1,0.716,0.677,24
31,しゃもじ,think,1,1,NA,0.581225156784,cong,1,0.646,0.785,24
32,バナナ,think,1,1,NA,0.430862903595,cong,1,0.797,0.795,24
33,バケツ,think,1,1,NA,0.414261102676,incong,1,0.815,0.715,24
34,うさぎ,think,1,1,NA,0.461897134781,incong,1,0.635,0.705,24
35,うどん,think,1,1,NA,0.430592060089,cong,1,0.688,0.752,24
36,カラス,think,1,1,NA,0.397639036179,cong,1,1.194,0.885,24
