word,condition,surppress,rate,participant
弁当 [弁当],cue,think,4,27
弁当 [みりん],tar,think,3,27
弁当 [ランチ],sub,think,1,27
幼児 [幼児],cue,think,4,27
幼児 [ピアノ],tar,think,5,27
幼児 [おしゃぶり],sub,think,1,27
新年 [新年],cue,think,4,27
新年 [ニュース],tar,think,2,27
新年 [モチつき],sub,think,1,27
電車 [電車],cue,think,4,27
電車 [カップル],tar,think,5,27
電車 [レール],sub,think,1,27
油絵 [油絵],cue,think,4,27
油絵 [ローマ],tar,think,4,27
油絵 [デッサン],sub,think,1,27
雨雲 [雨雲],cue,think,4,27
雨雲 [トラック],tar,think,4,27
雨雲 [あられ],sub,think,1,27
公園 [公園],cue,think,4,27
公園 [マナー],tar,think,5,27
公園 [シーソー],sub,think,1,27
王様 [王様],cue,think,4,27
王様 [カジノ],tar,think,3,27
王様 [マント],sub,think,1,27
財布 [財布],cue,think,4,27
財布 [ワニ],tar,think,2,27
財布 [カード],sub,think,1,27
浴衣 [浴衣],cue,think,5,27
浴衣 [おんぶ],tar,think,2,27
浴衣 [うちわ],sub,think,1,27
映画 [映画],cue,think,4,27
映画 [ムード],tar,think,5,27
映画 [フィルム],sub,think,1,27
和室 [和室],cue,think,4,27
和室 [ろうそく],tar,think,4,27
和室 [ふすま],sub,think,1,27
坊主 [坊主],cue,nothink,4,27
坊主 [ほくろ],tar,nothink,3,27
坊主 [バリカン],sub,nothink,2,27
手品 [手品],cue,nothink,4,27
手品 [テーブル],tar,nothink,3,27
手品 [トリック],sub,nothink,2,27
地球 [地球],cue,nothink,4,27
地球 [メートル],tar,nothink,3,27
地球 [マグマ],sub,nothink,2,27
餃子 [餃子],cue,nothink,4,27
餃子 [レンジ],tar,nothink,2,27
餃子 [にんにく],sub,nothink,2,27
学校 [学校],cue,nothink,3,27
学校 [あじさい],tar,nothink,3,27
学校 [チャイム],sub,nothink,4,27
郵便 [郵便],cue,nothink,4,27
郵便 [はさみ],tar,nothink,3,27
郵便 [ポスト],sub,nothink,2,27
神社 [神社],cue,nothink,4,27
神社 [しゃもじ],tar,nothink,2,27
神社 [おみくじ],sub,nothink,2,27
缶詰 [缶詰],cue,nothink,4,27
缶詰 [バナナ],tar,nothink,4,27
缶詰 [リサイクル],sub,nothink,1,27
銭湯 [銭湯],cue,nothink,5,27
銭湯 [バケツ],tar,nothink,4,27
銭湯 [サウナ],sub,nothink,3,27
競走 [競走],cue,nothink,4,27
競走 [うさぎ],tar,nothink,4,27
競走 [ゼッケン],sub,nothink,2,27
真夏 [真夏],cue,nothink,5,27
真夏 [うどん],tar,nothink,4,27
真夏 [プール],sub,nothink,2,27
野宿 [野宿],cue,nothink,4,27
野宿 [カラス],tar,nothink,4,27
野宿 [テント],sub,nothink,4,27
