item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,think,1,1,NA,0.36433506012,incong,0,1.528,1.121,38
2,ピアノ,think,0,1,NA,0.481080055237,incong,0,NA,1.025,38
3,ニュース,think,1,1,NA,0.463768959045,cong,0,1.007,0.957,38
4,カップル,think,1,1,NA,0.412091016769,cong,0,1.106,1.192,38
5,ローマ,think,1,1,NA,0.430702924728,incong,1,1.057,1.25,38
6,トラック,think,1,1,NA,0.497498989105,incong,0,1,1.052,38
7,マナー,think,1,1,NA,0.494116067886,cong,0,1.812,1.203,38
8,カジノ,think,1,1,NA,0.430815935135,cong,0,1.109,1.222,38
9,ワニ,think,1,1,NA,0.414149045944,incong,1,1.046,0.987,38
10,おんぶ,think,1,1,NA,0.480682134628,incong,0,2.221,1.31,38
11,ムード,think,1,1,NA,0.52872300148,cong,0,1.172,0.918,38
12,ろうそく,think,1,1,NA,0.430810928345,cong,0,1.135,1.281,38
13,モデル,nothink,1,1,1,0.464469909668,incong,0,1.178,1.193,38
14,まぐろ,nothink,1,1,1,0.480797052383,incong,0,1.779,2.154,38
15,スーツ,nothink,1,1,1,0.396754026413,cong,0,0.97,1.043,38
16,とんぼ,nothink,1,1,1,0.413746833801,cong,0,1.07,1.31,38
17,カレー,nothink,1,1,1,0.430742025375,incong,0,1.679,1.25,38
18,ダイヤ,nothink,1,1,1,0.480438947678,incong,0,2.088,1.707,38
19,ラジオ,nothink,1,1,1,0.531002044678,cong,1,2.076,2.091,38
20,ベランダ,nothink,1,1,1,0.364285945892,cong,0,0.986,1.89,38
21,ジャズ,nothink,1,1,1,0.447063922882,incong,0,1.382,1.196,38
22,ビール,nothink,1,1,1,0.580524921417,incong,0,1.324,1.48,38
23,コンパス,nothink,1,1,1,0.347378969193,cong,0,1.082,2.28,38
24,ゴルフ,nothink,1,0,1,0.6307721138,cong,0,1.287,NA,38
25,ほくろ,baseline,1,1,NA,0.39738202095,incong,0,1.082,1.134,38
26,テーブル,baseline,1,1,NA,0.462228059769,incong,0,0.759,1.463,38
27,メートル,baseline,1,1,NA,0.46416592598,cong,0,0.906,1.74,38
28,レンジ,baseline,1,1,NA,0.380706071854,cong,0,2.022,1.258,38
29,あじさい,baseline,1,1,NA,0.413692951202,incong,0,1.821,1.201,38
30,はさみ,baseline,1,1,NA,0.547597885132,incong,0,1.002,1.254,38
31,しゃもじ,baseline,1,1,NA,0.447422981262,cong,0,1.599,1.349,38
32,バナナ,baseline,1,1,NA,0.397634029388,cong,0,1.108,1.048,38
33,バケツ,baseline,1,1,NA,0.564087867737,incong,0,1.074,1.215,38
34,うさぎ,baseline,1,1,NA,0.413740158081,incong,0,1.162,1.356,38
35,うどん,baseline,1,1,NA,0.364175081253,cong,0,1.157,3,38
36,カラス,baseline,1,1,NA,0.413859844208,cong,0,1.612,1.095,38
