item_id,word,status,pre_recall_corr,post_recall_corr,sub_recall,dp_rt,congruency,dp_corr,pre_recall_rt,post_recall_rt,participant
1,みりん,think,1,1,NA,0.481167078018,cong,1,1.643,1.029,4
2,ピアノ,think,1,1,NA,0.430638074875,cong,1,0.837,0.847,4
3,ニュース,think,1,1,NA,0.464000940323,incong,1,0.862,0.822,4
4,カップル,think,1,1,NA,0.464380025864,incong,1,1.195,0.907,4
5,ローマ,think,1,1,NA,0.464314937592,cong,1,1.295,0.848,4
6,トラック,think,1,1,NA,0.414523124695,cong,1,0.946,1.079,4
7,マナー,think,1,1,NA,0.430778026581,incong,1,1.019,2.767,4
8,カジノ,think,1,1,NA,0.380877971649,incong,1,0.915,0.838,4
9,ワニ,think,1,1,NA,0.529368877411,cong,1,0.94,1.059,4
10,おんぶ,think,1,1,NA,0.447536945343,cong,1,0.922,0.883,4
11,ムード,think,0,1,NA,0.463991880417,incong,1,NA,0.953,4
12,ろうそく,think,1,1,NA,0.381184101105,incong,1,1.056,0.871,4
13,モデル,baseline,1,1,NA,0.447793006897,cong,1,0.872,0.799,4
14,まぐろ,baseline,1,1,NA,0.447237968445,cong,1,1.004,1.061,4
15,スーツ,baseline,1,1,NA,0.431061029434,incong,1,0.841,1.095,4
16,とんぼ,baseline,1,1,NA,0.497698068619,incong,0,0.85,1.074,4
17,カレー,baseline,1,1,NA,0.414092063904,cong,1,0.902,1.388,4
18,ダイヤ,baseline,1,1,NA,0.414083003998,cong,1,2.372,2.115,4
19,ラジオ,baseline,1,1,NA,0.547286987305,incong,1,1.015,1.766,4
20,ベランダ,baseline,1,1,NA,0.380771160126,incong,1,1.003,1.239,4
21,ジャズ,baseline,1,1,NA,0.41433095932,cong,1,1.418,1.192,4
22,ビール,baseline,1,1,NA,0.467503070831,cong,1,0.949,1.437,4
23,コンパス,baseline,1,1,NA,0.464134931564,incong,1,0.942,1.361,4
24,ゴルフ,baseline,1,1,NA,0.414408922195,incong,1,0.817,0.993,4
25,ほくろ,nothink,1,1,1,0.53049993515,cong,1,0.916,1.616,4
26,テーブル,nothink,1,1,1,0.39775800705,cong,1,1.211,2.287,4
27,メートル,nothink,1,1,1,0.430909872055,incong,1,0.903,1.137,4
28,レンジ,nothink,1,0,1,0.647487163544,incong,1,1.183,NA,4
29,あじさい,nothink,1,1,1,0.414376020432,cong,1,0.838,1.191,4
30,はさみ,nothink,0,0,1,0.414268016815,cong,1,NA,NA,4
31,しゃもじ,nothink,1,1,1,0.480674982071,incong,1,0.835,1.986,4
32,バナナ,nothink,1,0,1,0.513933897018,incong,1,1.099,NA,4
33,バケツ,nothink,1,1,1,0.497606039047,cong,1,0.965,1.871,4
34,うさぎ,nothink,1,1,1,0.397104978561,cong,1,1.224,2.386,4
35,うどん,nothink,0,0,1,0.513837099075,incong,1,NA,NA,4
36,カラス,nothink,1,1,1,0.380913972855,incong,1,0.911,0.993,4
